fips,lat,lon
0,45.5,148.8
1,45.5,148.8
2,45.4,141.8
3,45.4,141.8
4,45.4,141.9
5,45.4,142.0
6,45.4,147.9
7,45.4,148.6
8,45.4,148.8
9,45.4,148.8
10,45.3,141.8
11,45.3,141.8
12,45.3,141.9
13,45.3,142.0
14,45.3,142.1
15,45.3,142.2
16,45.3,147.9
17,45.3,148.0
18,45.3,148.4
19,45.3,148.5
20,45.2,141.2
21,45.2,141.2
22,45.2,141.8
23,45.2,141.8
24,45.2,141.9
25,45.2,142.0
26,45.2,142.1
27,45.2,142.2
28,45.2,142.2
29,45.2,147.8
30,45.2,147.9
31,45.2,148.0
32,45.2,148.1
33,45.2,148.2
34,45.1,141.8
35,45.1,141.8
36,45.1,141.9
37,45.1,142.0
38,45.1,142.1
39,45.1,142.2
40,45.1,142.2
41,45.1,142.4
42,45.1,147.8
43,45.1,147.8
44,45.1,147.9
45,45.1,148.0
46,45.0,141.8
47,45.0,141.8
48,45.0,141.9
49,45.0,142.0
50,45.0,142.1
51,45.0,142.2
52,45.0,142.2
53,45.0,142.4
54,45.0,147.6
55,45.0,147.8
56,45.0,147.9
57,44.9,141.8
58,44.9,141.9
59,44.9,142.0
60,44.9,142.1
61,44.9,142.2
62,44.9,142.2
63,44.9,142.4
64,44.9,142.5
65,44.9,147.4
66,44.9,147.5
67,44.9,147.6
68,44.8,141.9
69,44.8,142.0
70,44.8,142.1
71,44.8,142.2
72,44.8,142.2
73,44.8,142.4
74,44.8,142.5
75,44.8,142.6
76,44.8,147.2
77,44.8,147.4
78,44.7,141.8
79,44.7,141.9
80,44.7,142.0
81,44.7,142.1
82,44.7,142.2
83,44.7,142.2
84,44.7,142.4
85,44.7,142.5
86,44.7,142.6
87,44.7,142.8
88,44.7,142.8
89,44.7,147.2
90,44.6,141.9
91,44.6,142.0
92,44.6,142.1
93,44.6,142.2
94,44.6,142.2
95,44.6,142.4
96,44.6,142.5
97,44.6,142.6
98,44.6,142.8
99,44.6,142.8
100,44.6,142.9
101,44.6,147.1
102,44.6,147.2
103,44.5,141.8
104,44.5,141.9
105,44.5,142.0
106,44.5,142.1
107,44.5,142.2
108,44.5,142.2
109,44.5,142.4
110,44.5,142.5
111,44.5,142.6
112,44.5,142.8
113,44.5,142.8
114,44.5,142.9
115,44.5,143.0
116,44.4,141.8
117,44.4,141.9
118,44.4,142.0
119,44.4,142.1
120,44.4,142.2
121,44.4,142.2
122,44.4,142.4
123,44.4,142.5
124,44.4,142.6
125,44.4,142.8
126,44.4,142.8
127,44.4,142.9
128,44.4,143.0
129,44.4,143.1
130,44.4,143.2
131,44.4,146.1
132,44.4,146.2
133,44.4,146.2
134,44.4,146.4
135,44.3,141.8
136,44.3,141.8
137,44.3,141.9
138,44.3,142.0
139,44.3,142.1
140,44.3,142.2
141,44.3,142.2
142,44.3,142.4
143,44.3,142.5
144,44.3,142.6
145,44.3,142.8
146,44.3,142.8
147,44.3,142.9
148,44.3,143.0
149,44.3,143.1
150,44.3,143.2
151,44.3,143.2
152,44.3,143.4
153,44.3,146.0
154,44.3,146.1
155,44.3,146.2
156,44.3,146.2
157,44.2,141.8
158,44.2,141.8
159,44.2,141.9
160,44.2,142.0
161,44.2,142.1
162,44.2,142.2
163,44.2,142.2
164,44.2,142.4
165,44.2,142.5
166,44.2,142.6
167,44.2,142.8
168,44.2,142.8
169,44.2,142.9
170,44.2,143.0
171,44.2,143.1
172,44.2,143.2
173,44.2,143.2
174,44.2,143.4
175,44.2,143.5
176,44.2,143.6
177,44.2,143.8
178,44.2,145.2
179,44.2,145.2
180,44.2,145.9
181,44.2,146.0
182,44.1,141.8
183,44.1,141.9
184,44.1,142.0
185,44.1,142.1
186,44.1,142.2
187,44.1,142.2
188,44.1,142.4
189,44.1,142.5
190,44.1,142.6
191,44.1,142.8
192,44.1,142.8
193,44.1,142.9
194,44.1,143.0
195,44.1,143.1
196,44.1,143.2
197,44.1,143.2
198,44.1,143.4
199,44.1,143.5
200,44.1,143.6
201,44.1,143.8
202,44.1,144.0
203,44.1,144.1
204,44.1,145.1
205,44.1,145.2
206,44.1,145.9
207,44.0,141.8
208,44.0,141.8
209,44.0,141.9
210,44.0,142.0
211,44.0,142.1
212,44.0,142.2
213,44.0,142.2
214,44.0,142.4
215,44.0,142.5
216,44.0,142.6
217,44.0,142.8
218,44.0,142.8
219,44.0,142.9
220,44.0,143.0
221,44.0,143.1
222,44.0,143.2
223,44.0,143.2
224,44.0,143.4
225,44.0,143.5
226,44.0,143.6
227,44.0,143.8
228,44.0,143.8
229,44.0,143.9
230,44.0,144.0
231,44.0,144.1
232,44.0,144.2
233,44.0,145.0
234,44.0,145.1
235,44.0,145.8
236,44.0,145.8
237,43.9,141.8
238,43.9,141.8
239,43.9,141.9
240,43.9,142.0
241,43.9,142.1
242,43.9,142.2
243,43.9,142.2
244,43.9,142.4
245,43.9,142.5
246,43.9,142.6
247,43.9,142.8
248,43.9,142.8
249,43.9,142.9
250,43.9,143.0
251,43.9,143.1
252,43.9,143.2
253,43.9,143.2
254,43.9,143.4
255,43.9,143.5
256,43.9,143.6
257,43.9,143.8
258,43.9,143.8
259,43.9,143.9
260,43.9,144.0
261,43.9,144.1
262,43.9,144.2
263,43.9,144.2
264,43.9,144.4
265,43.9,144.5
266,43.9,144.6
267,43.9,144.8
268,43.9,144.8
269,43.9,144.9
270,43.9,145.0
271,43.9,145.1
272,43.9,145.6
273,43.8,141.4
274,43.8,141.5
275,43.8,141.6
276,43.8,141.8
277,43.8,141.8
278,43.8,141.9
279,43.8,142.0
280,43.8,142.1
281,43.8,142.2
282,43.8,142.2
283,43.8,142.4
284,43.8,142.5
285,43.8,142.6
286,43.8,142.8
287,43.8,142.8
288,43.8,142.9
289,43.8,143.0
290,43.8,143.1
291,43.8,143.2
292,43.8,143.2
293,43.8,143.4
294,43.8,143.5
295,43.8,143.6
296,43.8,143.8
297,43.8,143.8
298,43.8,143.9
299,43.8,144.0
300,43.8,144.1
301,43.8,144.2
302,43.8,144.2
303,43.8,144.4
304,43.8,144.5
305,43.8,144.6
306,43.8,144.8
307,43.8,144.8
308,43.8,144.9
309,43.8,145.0
310,43.8,145.5
311,43.8,146.8
312,43.8,146.8
313,43.7,141.4
314,43.7,141.5
315,43.7,141.6
316,43.7,141.8
317,43.7,141.8
318,43.7,141.9
319,43.7,142.0
