Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,10.60,2117.5,3.4,73.8,10,14.2,7.1,7,1752,267
1982,11.40,1675.0,3.8,72.8,10,15.3,7.6,2,1948,300
1983,11.13,1502.5,4.1,72.3,14,15.0,7.4,1,1761,288
1984,10.58,1459.0,4.0,72.6,29,14.4,7.0,2,1927,405
1985,11.25,1826.5,3.9,73.2,30,14.9,7.7,4,1746,318
1986,10.67,1472.5,4.0,72.8,12,14.4,7.1,1,1513,320
1987,11.28,1819.5,4.0,72.1,11,15.2,7.4,6,1545,240
1988,10.93,1416.5,4.0,72.3,19,14.7,7.5,2,1482,289
1989,12.08,1670.5,3.7,73.3,24,15.9,8.4,2,1619,96
1990,12.67,1892.5,4.3,72.3,16,16.5,9.0,6,1660,132
1991,11.81,2074.0,4.4,72.8,13,15.5,8.3,6,1472,303
1992,11.58,1594.0,4.4,72.8,12,15.4,8.1,2,1561,217
1993,11.14,1914.5,4.5,72.9,5,14.7,7.7,1,1435,178
1994,12.12,1230.5,4.3,72.1,41,16.0,8.6,1,1675,222
1995,11.77,1906.5,4.4,72.3,4,15.3,8.4,6,1363,261
1996,11.18,1495.5,4.4,71.6,13,14.9,7.8,2,1542,218
1997,11.86,1644.0,4.2,72.2,13,15.6,8.4,0,1498,201
1998,12.28,2142.0,4.3,74.6,17,16.2,8.7,6,1362,277
1999,12.41,1750.0,4.4,72.4,34,16.5,8.6,3,1546,260
2000,12.18,1562.5,4.5,71.8,40,16.1,8.8,1,1453,312
2001,11.60,1409.5,4.4,70.8,17,15.5,8.0,2,1473,320
2002,11.84,1926.5,4.2,73.3,16,15.7,8.3,3,1442,259
2003,11.80,1573.0,4.2,72.1,7,15.8,8.2,1,1442,200
2004,12.50,1784.0,4.5,71.9,19,16.4,9.0,1,1414,173
2005,11.70,1821.0,4.6,73.0,19,15.3,8.4,3,1397,469
2006,11.88,1477.0,4.3,72.8,23,15.8,8.4,1,1465,259
2007,12.35,1555.0,4.1,72.3,15,16.3,8.9,4,1578,140
2008,12.31,1256.0,4.2,72.1,19,16.4,8.7,0,1594,297
2009,12.00,1729.0,4.2,74.2,10,16.0,8.4,2,1531,273
2010,12.28,1890.5,4.2,74.2,36,16.1,8.9,3,1431,314
2011,11.83,1834.0,4.3,73.3,34,15.7,8.3,4,1466,419
2012,12.09,1742.5,4.3,72.7,38,15.9,8.7,1,1684,324
2013,11.89,2373.0,4.3,74.2,23,15.7,8.5,10,1469,356
2014,11.98,1737.5,4.4,72.3,23,16.0,8.4,3,1647,356
2015,12.71,1490.5,4.4,70.4,23,16.7,9.0,4,1713,104
2016,12.49,1795.5,4.1,74.4,38,16.5,8.9,4,1674,271
2017,11.88,1935.0,4.2,76.2,25,15.8,8.4,4,1600,335
2018,12.33,2016.5,4.1,74.6,30,16.3,8.8,5,1526,226
2019,12.87,1566.5,4.2,71.6,30,17.1,9.0,4,1834,146
2020,12.83,2022.5,4.1,75.3,29,16.8,9.4,5,1536,127
