Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,9.1,1703,2.8,77.1,11,13.2,5.3,2,1858,917
1982,10.12,1269.5,2.7,74.5,9,14.5,6.1,2,2061,802
1983,9.78,1252.5,2.9,74.1,11,14.2,5.7,0,1949,1020
1984,9.13,1124,2.8,75.8,23,13.3,5.4,0,2022,1146
1985,9.96,1163.5,2.8,74.7,25,14.1,6.1,0,1933,986
1986,9.24,1208.5,2.9,73.3,10,13.4,5.4,1,1566,963
1987,9.86,1212.5,2.9,74.4,5,14.3,5.7,1,1589,898
1988,9.46,1022.5,2.9,72.4,5,13.6,5.8,0,1543,1038
1989,10.87,1094.5,2.8,72.9,20,15.3,6.9,0,1614,406
1990,11.65,1289.5,3.6,73,13,15.9,7.8,4,1757,424
1991,10.78,1223,3.6,73.5,4,14.8,7.1,0,1631,669
1992,10.54,1028,3.6,74.9,6,14.6,6.8,0,1594,587
1993,10,1094.5,3.9,73.9,1,14,6.5,1,1531,392
1994,11.13,1010,3.7,72.9,30,15.3,7.5,0,1720,826
1995,10.73,1231,3.6,74.8,13,14.8,7.1,0,1534,582
1996,9.88,1087,3.7,74.6,9,14.1,6.3,0,1527,770
1997,10.68,1212,3.8,74.1,9,14.9,7,0,1486,466
1998,10.7,1605.5,3.8,77.3,4,14.8,7.1,7,1559,660
1999,10.86,1636,3.7,77.5,32,15.2,7.1,3,1609,1074
2000,10.73,1406,3.7,75.3,17,14.8,7.3,1,1508,798
2001,9.92,1400.5,3.9,72.9,5,13.8,6.4,1,1581,1075
2002,10.47,1525.5,3.7,72.3,6,14.5,6.9,3,1461,700
2003,10.15,1311,3.6,73.4,2,14.2,6.6,1,1516,622
2004,11.33,1435.5,3.9,72.1,16,15.6,7.6,1,1523,626
2005,10.14,1626.5,3.7,76.9,12,14,6.8,1,1489,1013
2006,10.19,1422.5,3.7,75.6,14,14.3,6.7,4,1465,507
2007,11.05,1293,3.6,73.2,21,15.3,7.5,2,1671,322
2008,10.72,1085,3.6,74.4,4,15,7.2,0,1642,440
2009,10.59,1459.5,3.6,74.3,4,14.9,6.9,2,1564,445
2010,11.11,1570,3.6,75.1,33,15.2,7.6,0,1465,511
2011,10.58,1570.5,3.7,76.3,23,14.8,7,1,1542,752
2012,10.5,1295.5,3.6,78.1,30,14.6,7.1,2,1669,700
2013,10.52,1664,3.7,76.6,19,14.6,7.1,4,1516,681
2014,10.67,1483.5,3.7,74.6,16,15,6.9,3,1735,770
2015,11.52,1003.5,3.8,73.7,14,15.7,7.9,1,1738,388
2016,10.96,1389.5,3.7,75.7,13,15.2,7.4,2,1622,601
2017,10.73,1388,3.7,75.3,15,14.9,6.9,2,1660,594
2018,11.04,1553,3.8,75,22,15.3,7.4,2,1642,598
2019,11.43,1093,3.8,72.8,26,16,7.6,3,1877,453
2020,11.56,1417,3.7,75.8,22,15.7,8.1,1,1599,309
2021,11.45,1382.5,3.7,76.4,18,15.8,7.7,2,1786,551
