Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,5.88,1416.5,1.7,78.2,9,10.6,1.2,3,1752,868
1982,6.96,813.5,1.8,75.5,15,12.0,1.9,0,2006,658
1983,6.13,928.5,1.9,76.4,9,11.0,1.3,0,1862,650
1984,6.20,728.0,1.8,74.9,21,11.4,1.3,0,2171,631
1985,6.45,934.5,1.8,75.8,20,11.5,1.6,0,2015,647
1986,5.75,885.5,1.8,75.8,9,10.8,0.9,0,1620,602
1987,6.43,1136.0,1.8,75.7,2,11.3,1.6,0,1510,847
1988,6.48,1078.0,1.8,77.3,13,11.4,1.8,1,1674,834
1989,7.64,1052.5,1.8,76.7,20,12.6,2.9,1,1613,602
1990,8.23,1054.0,1.8,74.0,9,13.4,3.5,1,1745,371
1991,7.46,1004.5,1.8,76.0,3,12.3,2.7,1,1529,594
1992,6.78,1272.5,1.8,76.8,3,11.6,2.2,1,1421,663
1993,6.84,988.0,1.8,75.4,2,11.5,2.5,0,1487,749
1994,7.48,1206.5,1.9,75.2,25,12.3,2.9,2,1632,804
1995,7.35,1042.0,1.7,75.7,3,12.1,2.8,0,1508,386
1996,6.48,1110.0,1.7,74.4,2,11.1,2.0,1,1362,848
1997,7.19,927.0,1.7,74.2,12,12.0,2.5,0,1486,571
1998,6.87,1166.5,1.8,77.3,3,12.2,1.8,2,1608,700
1999,7.36,1027.5,1.9,79.3,25,12.2,2.6,0,1532,803
2000,6.79,1538.0,1.8,79.2,12,11.6,2.3,2,1430,933
2001,6.24,1226.5,1.9,75.8,2,11.2,1.5,2,1587,645
2002,7.10,951.5,1.8,75.3,2,11.9,2.3,0,1441,655
2003,6.77,828.0,1.7,74.0,1,11.9,1.8,0,1686,431
2004,7.58,1028.5,2.4,73.8,13,12.6,2.7,0,1607,739
2005,6.68,973.0,3.1,77.3,13,11.5,2.0,2,1567,580
2006,7.13,1101.0,3.1,77.3,12,12.0,2.5,3,1539,667
2007,7.27,883.0,3.0,74.9,8,12.4,2.5,0,1667,673
2008,7.24,779.0,2.9,75.3,8,12.7,2.0,0,1681,586
2009,7.17,1146.5,3.1,74.9,6,12.0,2.6,1,1481,602
2010,7.81,1032.5,3.2,75.3,16,12.5,3.3,1,1440,640
2011,7.14,1330.5,2.9,76.0,16,12.1,2.5,3,1536,623
2012,7.19,1251.5,2.9,76.5,18,12.1,2.5,1,1589,579
2013,7.19,1185.5,3.1,76.5,20,12.0,2.7,1,1503,523
2014,7.16,1284.5,3.1,75.1,15,12.5,2.3,2,1786,531
2015,7.90,1005.5,3.0,76.3,7,12.8,3.3,1,1602,397
2016,7.23,1377.5,3.2,76.9,17,12.1,2.7,2,1608,648
2017,7.08,1064.0,3.1,77.3,11,12.0,2.4,1,1560,493
2018,7.44,1434.0,3.0,78.2,9,12.3,2.9,5,1504,483
2019,7.65,994.0,3.1,77.0,16,12.8,2.8,1,1654,518
2020,7.88,974.0,2.9,78.4,18,12.7,3.4,1,1611,463
