Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.3,1141,3.8,70,35,18.3,10.6,3,1988,2
1982,15,1471,4.1,72.1,13,18.9,11.5,1,2008,0
1983,14.66,1352.5,4.1,70.9,30,18.7,11.1,4,2122,0
1984,13.75,855,4,70.8,37,17.8,10.3,1,2224,71
1985,15.11,1381.5,4.4,70.7,50,19,11.7,4,2187,0
1986,14.55,1291.5,4.3,69.1,27,18.4,11.1,4,2046,20
1987,15.6,1276,4.5,70,43,19.5,12.1,3,1908,19
1988,14.93,1318.5,4.3,68.3,15,18.6,11.5,3,1788,3
1989,15.86,1658,4.5,70.3,39,19.6,12.6,2,1826,0
1990,16.61,1266.5,4.4,68.4,52,20.5,13.2,5,1960,16
1991,15.9,1910.5,4,69.3,37,19.6,12.7,10,1745,0
1992,15.61,1403,4,68.2,45,19.5,12.1,4,1847,13
1993,15.08,1596.5,4,69.3,19,18.8,11.8,5,1742,1
1994,16.41,1164,3.9,67.9,62,20.4,13,4,2045,34
1995,15.87,1094.5,4.2,66,46,19.8,12.5,3,2090,0
1996,15.28,1346,4,67.4,38,19.2,11.8,3,2023,21
1997,16.34,939.5,4.4,67,41,20.3,12.8,2,2113,0
1998,16.26,1345.5,4.1,72.8,38,20.2,12.9,2,1550,10
1999,16.63,1330.5,4.4,69.8,57,20.6,13.1,5,1972,0
2000,16.22,1329,4.3,70.5,60,20.2,12.8,3,1986,0
2001,15.78,1482,4,68.3,46,19.9,12.3,4,2006,18
2002,16.12,1370,4.2,69.3,53,20.1,12.7,5,1997,5
2003,15.51,1594.5,4,70.9,35,19.4,12.2,3,1711,0
2004,16.82,1670.5,4.4,68.1,68,21,13.2,6,2184,0
2005,15.76,1314.5,3.9,67,48,19.8,12.3,5,2012,3
2006,16.02,1726,3.8,69.7,40,19.8,12.9,7,1624,11
2007,16.63,1190,3.8,67.1,51,20.6,13.3,5,1980,0
2008,16.07,1639,3.6,67.6,48,20,12.8,6,1873,6
2009,16.32,1636.5,3.9,67.9,29,20.1,13.1,7,1702,0
2010,16.63,1525,4,67.7,67,20.5,13.3,3,1932,1
2011,16.31,1258.5,3.9,65.7,61,20.2,13,5,2083,1
2012,15.85,1614,3.7,66.7,58,19.8,12.6,4,2039,3
2013,16.57,1446.5,4,64.4,56,20.7,13,7,2135,15
2014,16.25,1495.5,3.7,63.4,49,20.3,12.9,6,2113,57
2015,16.73,1615.5,3.8,66.4,44,20.6,13.6,3,2034,0
2016,16.83,1604.5,3.6,67,53,20.8,13.5,6,1857,2
2017,16.29,1250,3.7,64.3,53,20.2,13,3,2054,0
2018,17.17,1261,3.9,66.8,66,21.1,13.8,3,2120,10
2019,16.84,1697,3.6,64.4,54,20.7,13.6,6,1913,8
2020,16.99,1791.5,3.6,66.5,51,20.7,13.7,10,1880,0
2021,17.10,1834.5,3.7,63.0,46,21.0,13.7,9,2170,0
