Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.60,2583.5,2.6,75.2,46,18.0,9.7,6,1717,440
1982,14.40,2001.5,2.7,73.9,37,18.9,10.4,3,1831,159
1983,14.16,2603.0,2.8,76.0,35,18.6,10.4,8,1775,264
1984,13.55,1947.5,2.8,75.1,51,17.9,9.8,2,1935,563
1985,14.23,2712.5,2.8,76.3,57,18.5,10.6,8,1713,313
1986,13.53,1904.5,2.7,75.6,40,17.9,9.7,1,1649,500
1987,14.64,1644.5,2.8,73.9,54,19.3,10.5,1,1735,216
1988,13.59,2335.5,2.7,76.1,29,17.9,10.0,4,1550,207
1989,14.63,2395.0,2.7,75.4,44,19.0,10.8,6,1669,38
1990,15.36,2210.0,2.7,75.2,61,19.8,11.5,4,1757,91
1991,14.63,2236.5,2.7,77.0,43,18.9,11.1,2,1315,202
1992,14.52,2010.0,2.8,73.4,46,18.9,10.7,1,1573,94
1993,13.87,2421.5,2.8,75.4,20,18.1,10.2,4,1337,92
1994,15.18,1528.0,2.8,71.9,64,19.8,11.1,0,1874,215
1995,13.95,2587.5,2.7,74.1,39,18.3,10.2,6,1497,195
1996,14.06,2023.0,2.8,72.9,48,18.6,10.2,4,1750,214
1997,14.64,2138.0,2.9,76.6,51,19.4,10.6,4,1695,77
1998,15.53,2578.5,2.8,80.8,49,20.0,12.0,8,1398,86
1999,15.00,2374.5,2.9,76.5,57,19.5,11.2,1,1592,222
2000,14.87,1976.0,2.9,72.3,70,19.4,10.9,5,1800,181
2001,14.58,2165.0,2.8,72.3,57,19.2,10.7,3,1747,266
2002,14.82,2368.5,2.9,72.2,57,19.4,10.9,3,1661,141
2003,14.49,2074.0,2.8,78.0,36,18.9,10.8,0,1387,136
2004,15.53,2578.0,2.9,73.7,70,20.3,11.5,10,1777,202
2005,14.45,2731.0,2.8,74.8,55,18.9,10.8,6,1566,403
2006,14.54,2251.0,2.7,74.8,53,18.9,10.9,6,1563,186
2007,15.03,2000.0,2.7,73.0,48,19.8,11.1,4,1682,54
2008,14.73,1964.5,2.6,74.2,56,19.4,10.9,3,1704,168
2009,14.70,2067.0,2.7,76.0,40,19.4,10.8,3,1600,180
2010,15.03,2717.0,2.8,76.6,69,19.5,11.3,6,1619,237
2011,14.64,2670.0,2.7,76.8,75,19.3,10.9,7,1691,340
2012,14.64,2492.5,2.9,74.9,70,19.2,10.9,7,1755,250
2013,14.90,2725.5,2.8,73.9,72,19.6,11.0,11,1740,189
2014,14.58,2463.5,2.8,74.0,47,19.4,10.7,10,1788,182
2015,15.15,2299.5,2.7,75.8,50,19.7,11.3,5,1685,159
2016,15.63,2027.0,2.8,72.3,63,20.4,11.8,2,1733,138
2017,14.64,2506.5,2.7,73.9,58,19.4,10.7,7,1764,152
2018,15.33,2632.0,2.7,77.1,73,20.1,11.3,8,1844,375
2019,15.58,1851.5,2.7,75.7,58,20.4,11.5,1,1777,25
2020,15.64,2531.5,2.7,77.4,60,20.4,11.8,3,1695,48
