Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,16.11,1699.5,3.0,68.8,63,20.1,12.5,9,1957,9
1982,16.37,1778.5,2.9,71.5,30,20.4,12.9,10,2039,6
1983,16.61,1721.0,3.1,70.3,47,20.6,13.1,4,2083,1
1984,16.11,1170.0,3.0,70.7,63,20.1,12.6,5,2083,24
1985,16.59,2024.5,3.1,71.6,68,20.4,13.2,7,1961,3
1986,15.99,1569.0,2.9,70.1,53,19.9,12.5,5,1852,4
1987,16.74,1876.0,3.0,71.3,42,20.8,13.1,7,1920,14
1988,16.28,1355.0,3.0,69.3,45,20.3,12.8,3,1843,0
1989,17.00,1544.5,3.0,70.3,51,21.0,13.4,5,1880,0
1990,17.65,1254.5,3.0,69.2,75,21.6,14.1,2,1986,15
1991,16.61,2085.5,3.0,71.6,48,20.3,13.4,8,1648,0
1992,16.78,1438.0,2.9,70.5,45,20.6,13.4,5,1802,0
1993,16.32,2049.5,2.8,70.3,22,20.1,12.9,10,1652,0
1994,17.57,891.0,2.8,67.1,74,21.6,14.0,2,2178,0
1995,16.48,1593.0,2.8,67.7,61,20.2,13.1,7,1953,6
1996,16.60,1275.5,2.8,67.9,50,20.5,13.2,4,1849,0
1997,17.12,2083.0,2.8,66.8,53,21.0,13.8,10,1975,3
1998,18.06,1865.5,2.7,70.2,68,21.9,14.8,10,1765,0
1999,17.08,1661.5,2.8,67.9,55,21.1,13.7,6,1672,10
2000,17.23,1344.0,2.7,65.8,68,21.3,13.9,4,2009,0
2001,17.12,1942.5,2.7,65.9,56,21.1,13.8,7,1911,5
2002,17.32,1371.5,2.9,63.8,56,21.2,14.0,2,1902,0
2003,17.16,1600.5,2.8,65.9,49,21.0,14.0,5,1758,2
2004,17.78,1741.5,2.7,64.3,74,21.9,14.3,8,2062,5
2005,17.16,1020.0,2.8,64.0,73,21.1,13.9,3,1875,4
2006,17.20,2018.0,2.7,68.0,55,21.0,14.1,9,1829,0
2007,17.96,1195.0,2.7,63.3,74,22.0,14.5,3,1987,0
2008,17.13,1780.5,2.6,65.5,65,21.1,13.8,8,1840,0
2009,17.34,1692.0,2.6,64.3,57,21.3,14.0,7,1807,6
2010,17.48,1729.0,2.9,65.0,74,21.5,14.2,4,1833,3
2011,17.11,1849.0,3.0,67.6,73,21.1,13.9,10,1820,0
2012,16.95,1768.5,3.0,67.3,63,20.9,13.8,6,1799,11
2013,17.69,1801.5,3.0,66.4,77,21.8,14.3,10,2059,5
2014,17.09,1765.5,2.9,69.3,48,21.2,13.8,9,1810,0
2015,17.33,1867.5,2.8,71.3,42,21.3,14.1,4,1872,1
2016,18.05,2420.5,2.7,73.3,75,22.1,14.8,12,1832,3
2017,17.57,1318.5,2.8,68.8,67,21.6,14.2,5,2069,3
2018,17.71,1617.0,2.8,68.6,75,21.8,14.3,5,2095,4
2019,17.93,1608.5,2.7,69.5,55,22.1,14.6,9,1982,0
2020,17.87,2212.5,2.9,68.9,61,21.9,14.6,10,2041,0
