Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,11.76,1130.5,2.3,67.6,33,16.6,7.7,3,2040,128
1982,12.58,1105,2.2,67.8,31,17.6,8.3,5,2043,64
1983,12.18,1175.5,2.3,69.8,35,17.1,8.1,2,1960,132
1984,11.61,708,2.6,68.7,42,16.4,7.6,0,2045,266
1985,12.66,1093,2.6,69.1,52,17.5,8.6,3,2035,162
1986,12.04,1079.5,2.5,69.1,32,16.9,7.8,3,1748,146
1987,13.13,774,2.6,67.3,41,18.2,8.8,2,1884,136
1988,11.98,1282.5,2.5,69.2,22,16.5,8.2,4,1578,86
1989,13.36,1270.5,2.5,68.6,40,17.9,9.4,5,1687,54
1990,14.09,1055.5,2.3,68.2,59,18.9,10.1,2,1745,39
1991,13.06,1612.5,2.2,69.6,31,17.7,9.1,7,1603,135
1992,12.92,1065.5,2.3,68.3,37,17.7,8.8,3,1707,139
1993,12.34,1307,2.4,68.8,13,16.9,8.4,4,1528,97
1994,13.81,925,2.4,66.3,61,18.9,9.7,2,1939,144
1995,13.01,1103,2.3,68,33,17.7,9.1,2,1733,135
1996,12.54,755.5,2.4,66.3,34,17.4,8.4,1,1830,107
1997,13.31,1077.5,2.4,69.1,54,18.4,9.2,1,1766,92
1998,13.55,1525.5,2.3,71.7,40,18.3,9.6,5,1466,165
1999,13.78,1403,2.4,69.2,53,18.8,9.6,7,1826,71
2000,13.48,1291,2.4,68.3,64,18.4,9.5,5,1791,171
2001,12.8,991,2.3,69.2,42,17.9,8.7,1,1703,248
2002,13.27,1188,2.4,68,46,18.3,9.1,5,1756,85
2003,12.74,1252,2.4,69.8,29,17.5,8.8,1,1599,94
2004,13.83,1292.5,2.5,67.6,63,19,9.6,4,1885,123
2005,12.89,1068,2.4,69.4,47,17.8,9,2,1691,250
2006,13.04,1489.5,2.4,69.8,37,17.8,9.3,2,1582,81
2007,13.63,1279,2.3,67.8,47,18.7,9.5,2,1803,55
2008,13.18,1082.5,2.2,69.4,38,18.1,9.2,1,1665,136
2009,13.48,1079.5,2.3,67.3,37,18.5,9.4,4,1689,68
2010,13.83,1518.5,2.1,68.9,72,18.9,9.7,5,1737,116
2011,13.29,1091.5,2.3,67.9,69,18.5,9.1,3,1825,119
2012,13.16,1070.5,2.4,70.3,64,18.1,9.4,3,1751,158
2013,13.38,1202,2.5,68.7,53,18.5,9.3,2,1844,154
2014,13.31,1365.5,2.4,68.8,43,18.4,9.2,5,1889,169
2015,14.19,1284,2.4,69.6,49,19.2,10.1,1,1884,83
2016,14.16,1172,2.5,69.3,48,19.1,10,5,1818,85
2017,13.35,1202.5,2.5,71,43,18.3,9.3,3,1777,124
2018,14.22,828,2.4,70.2,64,19.4,9.9,0,1916,158
2019,14.04,1462.5,2.5,69.6,46,19.2,9.8,4,1927,62
2020,14.13,1224.5,2.4,72.4,55,19,10.2,4,1684,82
2021,14.00,1202.0,2.4,71.7,48,19.1,9.8,2,1811,134
