Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.52,1887,2.2,68.1,55,19.4,10.2,5,2229,129
1982,15.34,1775,2.3,66.8,49,20.2,11.1,6,2218,21
1983,15.41,1910.5,2.5,67.2,61,20.3,11.2,8,2456,9
1984,14.75,1479.5,2.5,68.3,61,19.5,10.8,6,2355,148
1985,15.41,2148.5,2.4,70.1,68,20.1,11.4,9,2226,28
1986,14.96,1650.5,2.6,65.9,59,19.9,10.7,9,2419,36
1987,15.88,1341,2.5,66.3,70,20.9,11.6,5,2045,61
1988,14.87,1889.5,2.3,67.6,62,19.8,10.8,8,1995,69
1989,15.87,2049.5,2.4,66.9,59,20.6,11.7,9,2084,0
1990,16.51,2211,2.4,67.4,74,21.3,12.3,11,2158,8
1991,15.91,2146.5,2.4,68.8,67,20.6,12,10,1915,59
1992,15.8,1629,2.5,67.3,64,20.7,11.6,1,2079,10
1993,15.06,2287.5,2.5,69,32,19.7,11.1,15,1870,27
1994,16.68,1208,2.6,63.8,84,21.8,12.3,4,2386,25
1995,15.45,1710.5,2.5,66.8,54,20.5,11.1,7,2244,26
1996,15.21,1657.5,2.6,67.7,68,20.3,11,5,2082,116
1997,15.88,1845.5,2.6,67.9,63,21,11.4,8,2151,24
1998,16.91,2245.5,2.5,71.8,78,21.6,12.8,11,1874,6
1999,16.1,1976,2.6,72.3,70,21,11.9,12,2017,38
2000,16.17,1679.5,2.6,69.3,83,21.2,11.8,3,2132,44
2001,16.03,1580,2.6,66,76,21.1,11.8,5,2140,30
2002,16.16,1397.5,2.6,65.3,80,21.1,12,4,2054,60
2003,15.81,2285,2.6,66.5,55,20.5,11.9,9,1893,52
2004,16.89,1903,2.6,63.8,91,22,12.5,10,2158,8
2005,15.85,1451,2.6,64.2,87,20.8,11.7,5,2067,107
2006,16.02,1895.5,2.5,66.6,65,20.7,12,5,1939,8
2007,16.43,1608,2.5,63.6,73,21.4,12.1,7,2119,12
2008,16.15,1632.5,2.5,63.8,73,21.2,11.9,8,2141,14
2009,16.26,1904,2.5,61.9,69,21.3,12,11,2122,50
2010,16.38,2440.5,2.5,64.2,81,21.1,12.3,14,2067,23
2011,15.93,1779,2.6,64.5,79,20.8,11.8,8,2081,47
2012,15.71,1871.5,2.7,67.5,73,20.4,11.7,9,2132,49
2013,16.3,1875.5,2.7,63.8,82,21.2,12,10,2316,22
2014,16.06,1719,2.7,64,69,20.9,11.9,8,2209,28
2015,16.54,2266.5,2.6,67.1,59,21.3,12.5,11,2115,33
2016,16.93,1988,2.6,65.3,78,21.8,12.8,6,2135,13
2017,15.87,1864,2.6,65,74,20.7,11.7,9,2178,27
2018,16.88,2087,2.7,64.3,79,21.8,12.6,10,2278,23
2019,17.01,1798,2.6,62.7,77,21.9,12.9,9,2196,0
2020,16.95,2088.5,2.6,64.5,77,21.8,12.9,10,2173,9
2021,16.82,2249.5,2.6,65.3,71,21.7,12.8,12,2092,42
