Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,17.98,2725.5,5.7,73.2,14,20.7,15.3,13,1856,2
1982,17.98,3394.5,5.6,76.5,2,20.6,15.5,14,1625,0
1983,18.25,2619.5,6.1,75.6,17,20.9,15.8,14,1719,0
1984,17.42,2316,5.5,75.4,37,20.3,14.9,15,1820,0
1985,18.26,3134.5,5.6,75.5,16,20.9,15.7,19,1784,0
1986,17.83,2946,5.6,73.6,11,20.6,15.1,14,1544,0
1987,18.64,3479,5.9,76.2,13,21.3,16.1,14,1398,0
1988,17.83,3281.5,5.7,74.8,8,20.6,15.2,13,1388,0
1989,18.53,3218.5,5.4,75.5,12,21.3,15.9,19,1503,0
1990,18.88,3150.5,5.4,74.8,17,21.6,16.3,15,1561,0
1991,18.4,3838.5,5.5,76.3,16,21.1,15.9,22,1367,0
1992,18.45,4082,5.5,74,10,21.2,15.9,22,1376,0
1993,18.08,3760,5.8,75.1,1,20.8,15.5,20,1341,0
1994,18.75,2455.5,5.2,73.7,25,21.6,16.2,11,1499,0
1995,18.06,2896.5,5.5,72.7,46,20.9,15.5,14,1538,0
1996,17.91,2688.5,5.4,75,16,20.7,15.3,12,1532,0
1997,18.59,2547.5,5.7,74,24,21.5,16,12,1536,2
1998,19.37,4603,5.6,77.8,25,22.1,16.9,22,1254,0
1999,18.93,2888.5,5.6,76.3,38,21.8,16.4,15,1553,0
2000,18.63,2839.5,5.3,78.3,17,21.5,16,12,1532,0
2001,18.32,3161.5,5.5,77.8,24,21.2,15.7,16,1487,0
2002,18.76,3248,5.9,75.9,26,21.5,16.2,16,1386,0
2003,18.41,3550.5,5.7,78.7,17,21.2,15.9,17,1145,0
2004,18.58,2979.5,4.9,79.7,16,21.5,16.1,20,1500,0
2005,17.64,2721,5,78.3,15,20.5,15.2,12,1403,1
2006,18.03,3534.5,5.1,81,16,20.8,15.6,19,1258,3
2007,17.99,3295.5,4.8,80.2,21,21,15.5,15,1524,0
2008,17.68,3436,4.7,80.8,23,20.8,15.1,15,1567,0
2009,17.73,3313.5,4.7,81.5,9,20.7,15.1,14,1420,0
2010,18.33,3966.5,4.9,78.8,44,21.4,15.8,25,1425,0
2011,17.73,3037.5,4.9,77.2,18,20.6,15.4,16,1413,0
2012,17.47,3413,4.9,77.3,28,20.4,15,13,1461,0
2013,17.86,2191,4.9,75.9,38,21,15.3,10,1630,0
2014,17.58,2920.5,4.7,76.9,23,20.6,15,13,1482,0
2015,18.08,3791.5,4.8,80.3,23,21.1,15.5,20,1522,0
2016,18.62,3420,4.5,79.8,14,21.7,16,15,1563,0
2017,17.73,3203.5,4.6,78.6,36,20.8,15.2,21,1622,0
2018,18.71,2886.5,4.7,80.2,37,21.7,16.3,13,1571,0
2019,18.72,4340.5,4.6,81.9,36,21.7,16.3,29,1439,0
2020,18.81,4189,4.6,82.1,38,21.8,16.3,24,1433,0
2021,18.43,2985.5,4.9,80.6,16,21.4,16.0,18,1459,0
