Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.37,1733,2.4,73.4,46,17.5,9.7,4,1983,229
1982,14.17,1521,2.4,73.3,25,18.3,10.5,2,2086,100
1983,14.45,1708.5,2.7,74.3,44,18.6,10.8,7,2089,110
1984,13.77,1239,2.7,74.2,50,17.9,10.2,2,2087,355
1985,14.43,1713.5,2.5,76,58,18.5,11,4,1956,156
1986,13.83,1403,2.7,74.6,43,17.9,10.2,2,1930,129
1987,14.64,1299,2.6,74.8,55,19,10.9,3,1862,101
1988,13.87,1735,2.7,74.2,27,17.8,10.4,7,1689,126
1989,14.77,1681,2.7,74.3,45,18.7,11.2,5,1770,20
1990,15.43,1707.5,2.7,74.1,62,19.5,11.9,5,1827,18
1991,14.86,1813,2.8,76,43,18.8,11.4,5,1548,60
1992,14.56,1300.5,2.7,73.6,41,18.6,10.9,2,1769,35
1993,13.91,1753,2.7,75.8,14,17.8,10.5,4,1525,75
1994,15.39,1137.5,2.8,71.3,69,19.6,11.7,4,2086,88
1995,14.13,1681.5,2.7,73.9,47,18.1,10.6,4,1878,206
1996,13.94,1517,2.6,74.3,44,17.9,10.3,2,1873,149
1997,14.66,1739,2.7,73.8,41,18.7,11,6,1925,62
1998,15.77,1765,2.6,74.9,52,19.6,12.5,2,1699,33
1999,15.03,1494.5,2.7,73.8,49,19.2,11.5,4,1828,105
2000,15.06,1474.5,2.8,71.9,72,19.1,11.4,1,1915,174
2001,14.85,1479.5,2.8,70.8,54,19.1,11.2,4,1902,72
2002,15.06,1350,2.8,74.7,60,19.3,11.6,3,1846,54
2003,14.65,1926,2.9,77,36,18.5,11.3,6,1602,40
2004,15.67,1664,2.8,74,64,20.1,11.9,5,1988,60
2005,14.76,1423.5,2.9,73.8,57,18.8,11.3,2,1847,172
2006,14.74,1661.5,2.8,75.8,48,18.6,11.5,3,1700,68
2007,15.23,1473.5,2.7,73.3,46,19.4,11.6,3,1899,9
2008,14.97,1474,2.7,74.5,53,19.1,11.4,2,1893,84
2009,14.99,1402,2.8,73.3,37,19.2,11.5,1,1825,42
2010,15.33,1858,2.7,73.6,67,19.4,11.9,7,1850,56
2011,15.01,1800.5,2.6,74.2,77,19.3,11.5,6,1850,102
2012,14.83,1737.5,3,73.8,66,18.9,11.4,3,1875,120
2013,15.13,1492,3,71.8,62,19.4,11.5,2,2073,114
2014,14.9,1449.5,3.1,71.7,45,19.1,11.3,6,1971,55
2015,15.5,1784,3,73,42,19.5,12,4,1859,87
2016,15.84,1628.5,2.9,72.9,58,20,12.2,4,2013,52
2017,14.84,1895,3,73.3,53,19,11.4,6,1935,157
2018,15.66,1863,2.9,74.8,66,20,11.9,5,2060,90
2019,15.81,1398.5,2.9,74.8,55,19.9,12.3,2,1961,7
2020,15.84,1862.5,2.9,76,53,20,12.4,6,1906,46
2021,15.74,1803.5,2.9,75.8,46,20.1,12.1,4,1956,128
