Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.26,1539.5,2.3,73.3,40,18.5,10.6,6,2179,22
1982,15.08,1460.0,2.6,73.3,27,19.4,11.4,6,2216,17
1983,15.31,1645.5,2.8,73.1,39,19.7,11.7,8,2474,2
1984,14.84,1231.5,2.7,71.8,55,19.1,11.3,6,2282,47
1985,15.43,2006.5,2.7,73.4,56,19.6,11.9,11,2276,8
1986,14.76,1503.0,2.6,72.3,43,19.1,11.1,8,2055,25
1987,15.53,1869.5,2.7,72.6,34,19.9,11.8,9,2104,7
1988,15.54,1322.0,3.9,66.9,59,20.1,11.7,6,2061,5
1989,16.33,1581.0,4.0,67.8,57,21.0,12.3,5,2080,4
1990,16.98,1849.0,4.0,69.0,73,21.4,13.0,5,2113,6
1991,16.43,1627.5,4.0,69.7,59,20.8,12.8,5,1741,5
1992,16.28,1330.0,3.9,68.6,51,20.7,12.4,4,1879,1
1993,15.71,2390.5,3.7,69.8,35,20.1,11.9,12,1699,6
1994,17.16,921.5,3.9,65.4,83,22.0,13.0,1,2240,16
1995,15.91,1389.5,3.8,67.9,56,20.5,11.9,6,2102,13
1996,15.88,1262.0,3.8,69.3,62,20.5,11.9,5,2026,31
1997,16.44,1860.0,3.9,68.7,63,21.0,12.5,12,2083,17
1998,17.55,1508.0,3.7,69.3,76,21.9,13.8,8,1925,7
1999,16.67,1702.5,3.7,68.2,58,21.1,12.9,7,1964,17
2000,16.53,1138.5,3.8,68.2,72,21.2,12.7,2,2069,12
2001,16.29,1556.0,3.9,68.1,69,21.1,12.3,8,2111,5
2002,16.51,1272.5,3.9,66.7,77,21.3,12.6,2,2071,4
2003,16.09,1709.5,3.7,72.3,47,20.6,12.5,3,1933,15
2004,16.97,1902.0,3.9,68.9,75,21.8,12.9,15,2222,1
2005,16.13,1322.5,3.7,69.0,77,20.8,12.2,4,2145,44
2006,16.33,1959.5,3.7,70.0,56,20.8,12.6,8,1938,5
2007,16.95,1047.5,3.7,65.0,75,21.7,13.0,2,2099,4
2008,16.40,1148.5,3.7,65.3,73,21.3,12.5,1,2101,4
2009,16.40,1486.5,3.7,64.1,60,21.2,12.5,4,1996,4
2010,16.58,1586.0,3.5,63.7,79,21.2,12.8,6,2049,0
2011,16.17,1502.0,3.5,65.1,70,20.7,12.5,6,1969,4
2012,16.18,1478.0,3.4,67.0,71,20.6,12.6,8,1962,3
2013,16.58,1820.5,3.4,67.2,77,21.1,12.7,10,2249,6
2014,16.19,1573.0,3.4,67.8,49,20.6,12.5,6,1980,11
2015,16.64,1641.0,3.2,64.9,42,21.0,13.0,5,1963,5
2016,17.22,2124.0,3.2,65.2,70,21.6,13.7,10,1897,7
2017,16.33,1619.5,3.2,62.8,61,20.7,12.6,8,2098,20
2018,16.83,1878.5,3.3,62.1,66,21.2,13.2,8,2182,2
2019,17.23,1381.5,3.3,61.2,62,21.7,13.4,5,2134,0
2020,17.07,2026.5,3.3,61.0,57,21.6,13.4,10,2167,0
