Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,23.63,2153,4.7,78.1,89,26.2,21.5,9,1977,0
1982,23.85,1830.5,4.7,78.8,97,26.4,21.7,8,2093,0
1983,24.34,2215.5,4.9,76.5,129,26.8,22.3,9,1965,0
1984,23.78,2229.5,4.7,77.8,104,26.4,21.6,11,2063,0
1985,23.96,2954,4.9,77.3,94,26.5,21.9,17,2037,0
1986,23.53,1495.5,4.7,75.6,97,26.2,21.4,7,1873,0
1987,24.33,2104.5,4.5,77.4,112,27,22.1,13,1961,0
1988,24.33,2127,4.8,77.1,125,27,22.2,12,1645,0
1989,23.98,2014,4.5,76.5,108,26.5,21.9,6,1775,0
1990,24.19,2735.5,5,78.2,92,26.7,22.2,17,1844,0
1991,24.51,1683,4.8,76.1,129,27,22.5,9,1952,0
1992,24.05,2430,4.6,76.4,92,26.6,21.9,11,1772,0
1993,24.24,1193,4.5,74.6,122,26.8,22.2,4,1997,0
1994,24.3,2135,4.7,74.9,97,26.9,22.2,9,1966,0
1995,23.79,1942.5,4.6,73.8,107,26.3,21.7,9,1748,0
1996,24.01,1666,4.8,73.5,109,26.6,21.9,6,1987,0
1997,24.22,1945,4.6,73.8,88,26.7,22.2,7,1860,0
1998,25.35,2986,4.5,75.8,136,27.8,23.3,18,1797,0
1999,24.46,1787.5,4.6,74.7,119,26.9,22.4,7,1747,0
2000,24.45,2473,4.7,76.6,119,27.2,22.3,14,1753,0
2001,24.5,2536.5,4.5,73.1,118,27.3,22.3,17,1853,0
2002,24.47,1952,4.3,72.4,125,27.2,22.3,11,1927,0
2003,24.37,1395,4.6,71.2,119,27.2,22.2,4,1996,0
2004,24.18,1889.5,5.3,71.2,108,26.9,22,9,1948,0
2005,24.12,2328.5,5.6,75.2,121,26.8,22,11,1726,0
2006,24.64,1905.5,5.2,75.5,122,27.3,22.5,7,1636,0
2007,24.78,2270,5.5,73.3,133,27.5,22.8,12,1759,0
2008,24.47,2330.5,5.2,74.3,134,27.2,22.3,12,1795,0
2009,24.61,1689,5.3,73.3,124,27.4,22.5,8,1984,0
2010,24.58,2806.5,5.3,75.5,113,27.2,22.5,14,1720,0
2011,24.07,1849.5,5.3,75.2,118,26.7,22.1,5,1586,0
2012,24.32,2070,5.6,78.3,108,26.9,22.3,6,1619,0
2013,24.51,2161,5.4,77.7,135,27.3,22.4,16,1831,0
2014,24.58,1300.5,5.1,75.3,138,27.3,22.5,8,2051,0
2015,24.88,2255,5.3,77.3,138,27.6,23,14,1896,0
2016,25.29,2116,5.2,78.7,162,28,23.2,7,1847,0
2017,24.89,2145.5,5,78,143,27.6,22.8,12,1917,0
2018,24.58,2400,5,78.6,125,27.3,22.5,10,1992,0
2019,25.08,2701.5,5.2,80,118,27.7,23,15,1765,0
2020,24.98,2521.5,5.2,78.9,132,27.7,22.9,11,1935,0
2021,25.01,1559.0,5.0,78.1,151,27.8,22.9,4,2106,0
