Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,17.41,1818.0,2.7,71.1,75,22.0,13.3,6,2122,8
1982,17.75,2012.5,2.7,71.8,55,22.4,13.6,10,2104,9
1983,17.81,3047.5,2.8,73.3,70,22.3,13.8,18,2133,0
1984,17.58,1543.0,2.8,71.3,73,22.0,13.6,4,2044,1
1985,18.12,1872.5,2.8,72.8,85,22.5,14.2,6,2103,3
1986,17.52,1887.0,2.7,71.0,70,22.0,13.5,5,1962,31
1987,18.23,2653.5,2.7,72.8,75,22.6,14.2,13,1867,15
1988,17.75,2001.0,2.6,70.4,67,22.2,13.7,10,1879,0
1989,18.36,2151.5,2.6,69.9,62,22.7,14.5,9,1952,0
1990,18.75,2580.0,2.6,71.3,88,23.1,14.8,16,2035,4
1991,18.36,2162.5,2.6,72.4,80,22.5,14.6,9,1725,0
1992,18.06,2321.5,2.6,71.0,60,22.4,14.1,9,1876,0
1993,17.68,4022.0,2.7,71.3,48,22.0,13.8,22,1768,1
1994,18.74,1616.0,3.2,69.0,84,23.1,14.9,8,2179,0
1995,17.83,2758.0,3.3,68.9,72,22.2,14.1,12,2060,0
1996,18.28,2082.5,3.5,68.7,79,22.5,14.6,15,1997,0
1997,18.66,1826.0,3.5,69.3,73,22.8,15.0,8,2053,0
1998,19.82,2559.5,3.2,72.7,89,23.8,16.4,12,1834,0
1999,18.76,2462.0,3.4,69.4,74,23.0,15.2,13,1749,1
2000,18.79,2667.0,3.4,68.3,81,23.1,15.1,14,1981,0
2001,18.86,1990.0,3.3,68.0,79,23.2,15.2,9,1981,1
2002,18.78,2082.0,3.4,67.8,81,23.1,15.2,11,1944,0
2003,18.89,2035.0,3.4,67.5,75,23.1,15.4,10,1949,5
2004,19.23,2314.5,3.6,65.8,90,23.7,15.6,12,2196,4
2005,18.46,1988.0,3.4,67.0,91,22.8,14.9,11,2015,14
2006,19.16,2280.5,3.3,67.0,76,23.4,15.7,11,1941,0
2007,19.33,2420.0,3.3,65.2,96,23.7,15.6,14,2083,0
2008,18.70,2345.5,3.2,67.1,77,23.0,15.1,13,1973,0
2009,18.99,1530.0,3.3,66.8,89,23.5,15.3,8,1959,0
2010,18.87,2942.0,3.2,70.6,75,23.0,15.5,13,1766,35
2011,18.35,2063.0,3.4,70.6,79,22.5,14.9,13,1867,7
2012,18.24,2895.0,3.4,73.0,72,22.5,14.7,16,1751,0
2013,18.93,1777.5,3.4,70.1,98,23.5,15.2,6,2183,0
2014,18.45,2834.0,3.3,72.1,62,22.7,14.9,15,1872,0
2015,18.77,3663.5,3.1,74.0,55,22.9,15.3,27,1778,0
2016,19.63,3285.5,3.2,74.8,95,23.8,16.2,20,1946,14
2017,18.56,2274.0,3.3,72.6,82,22.9,15.0,14,2027,0
2018,19.01,2397.0,3.4,72.6,84,23.3,15.4,11,2051,1
2019,19.43,2470.0,3.3,72.4,78,23.7,16.0,6,1971,0
2020,19.17,2977.5,3.2,72.8,64,23.6,15.5,16,2041,0
