Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.43,2707,1.9,73.3,45,17.8,9.7,7,1702,452
1982,14.18,2420.5,1.9,72.7,29,18.6,10.3,6,1871,245
1983,14.13,3061,2.3,72.6,36,18.4,10.4,9,1844,325
1984,13.53,2303,2.2,72.3,53,17.7,9.9,9,1840,597
1985,14.28,3307,2.2,72.8,55,18.5,10.7,11,1700,353
1986,13.67,2029.5,2.1,71.9,38,18,9.9,3,1698,538
1987,14.73,1997.5,2.2,70,47,19.2,10.8,5,1709,260
1988,13.68,2790,2.2,72.8,31,17.9,10.1,8,1464,260
1989,14.68,2677,2,72.1,43,19,10.9,8,1594,29
1990,15.52,2293,2.1,71.7,60,19.8,11.7,3,1696,134
1991,14.7,2559.5,2.6,73.4,43,18.8,11.2,3,1341,169
1992,14.53,1935,4.1,73.3,35,18.2,11,0,1637,95
1993,13.94,2722.5,4.2,73.7,14,17.7,10.6,11,1361,85
1994,15.29,1600.5,4,69.8,58,19.1,11.8,0,1884,174
1995,14.3,2654,4.1,71.1,37,17.9,10.9,5,1535,180
1996,14.17,2134.5,4.1,72,40,18.2,10.6,5,1773,154
1997,14.65,2505.5,4.2,72.9,42,18.6,10.9,5,1749,74
1998,15.61,2631,4.1,76.7,41,19.5,12.3,9,1433,76
1999,15.31,2575.5,3.9,71.3,52,19.3,11.8,7,1652,142
2000,15.11,2126,4,70.6,55,19,11.5,6,1822,211
2001,14.84,1921,4,71.3,47,18.9,11.3,3,1790,235
2002,15.18,2793,4.1,71.4,51,19.2,11.6,8,1704,172
2003,14.78,2073,3.9,73.2,31,18.7,11.4,2,1520,92
2004,15.82,2329,4,70.1,59,20,12.1,3,1810,181
2005,14.82,2545,4.2,70.2,52,18.8,11.5,9,1655,273
2006,14.63,2447,3.8,70.8,45,18.6,11.3,6,1587,173
2007,15.14,1820.5,3.9,66.8,38,19.2,11.5,3,1697,29
2008,14.88,1859,3.7,67.3,50,19,11.4,2,1771,140
2009,14.76,2292,3.9,66.8,27,18.8,11.3,8,1703,114
2010,15.14,2858.5,4,68.7,60,19,11.7,4,1675,178
2011,14.8,2467,3.9,70.8,65,18.8,11.3,8,1718,230
2012,14.82,2675.5,3.9,71,62,18.7,11.4,7,1836,249
2013,15.03,3318,4,70.1,51,19.1,11.5,13,1868,149
2014,14.77,2634.5,3.7,69.8,34,18.7,11.3,13,1861,159
2015,15.33,2164.5,3.7,71,36,19.3,11.9,5,1793,75
2016,15.74,2390.5,3.9,69.8,55,19.9,12.2,5,1802,117
2017,14.95,2703,4,68.4,45,19,11.4,9,1850,111
2018,15.54,2765.5,3.9,69,64,19.7,11.9,9,1881,289
2019,15.76,2009.5,3.7,67.3,47,19.9,12.2,4,1896,42
2020,15.87,2535.5,3.8,69.1,54,20,12.4,7,1736,47
2021,15.73,2690.0,4.0,69.1,49,20.0,12.2,8,1889,177
