Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.8,1103.5,3.1,66.4,39,18.8,11.3,1,2139,1
1982,15.4,1243.5,3.1,65.8,24,19.4,11.9,2,2180,2
1983,15.77,1317.5,3.6,65.6,46,19.8,12.3,5,2266,0
1984,15.14,1023.5,3.4,66.2,58,19.2,11.8,2,2194,21
1985,15.83,1178.5,3.5,67.3,63,19.9,12.4,2,2089,2
1986,15.18,1144,3.4,66.1,54,19.3,11.7,2,2096,1
1987,16.01,1048.5,3.4,67.9,56,20.1,12.5,2,2030,1
1988,15.28,1322,3.4,66.3,40,19.3,11.8,4,1922,0
1989,16.03,1609,3.4,68.7,51,20.1,12.5,5,1963,0
1990,16.66,1512.5,3.4,68.8,68,20.8,13.2,7,1997,9
1991,16.35,1210,3.6,68.2,59,20.4,13,3,1776,0
1992,16.01,1227.5,3.4,67.9,48,20.2,12.5,4,1888,0
1993,15.51,1724.5,3.5,68.9,25,19.6,12.1,7,1698,4
1994,16.93,599.5,3.4,65.1,82,21.4,13.3,0,2217,2
1995,15.65,1190.5,2.7,66.1,53,19.9,12.1,4,1923,1
1996,15.61,1156,3.2,66.3,52,19.7,12.1,5,2005,3
1997,16.16,1341.5,3.3,67.8,52,20.2,12.6,4,2067,4
1998,17.29,1580,3.3,68.8,70,21.2,13.9,8,1857,0
1999,16.79,1294,3.3,65.7,68,20.6,13.4,3,2014,0
2000,17.03,1026.5,3,63.5,79,20.7,14,4,2026,1
2001,16.93,864,3.2,61.6,63,20.6,13.8,2,2127,0
2002,17.14,823.5,3.4,63.5,63,20.8,14,0,2026,0
2003,16.77,1538,3.2,67.5,48,20.1,13.8,5,1765,0
2004,17.78,1448.5,3.3,64.4,76,21.3,14.6,6,2173,0
2005,16.8,687,3.3,64.1,64,20.3,13.8,1,2037,2
2006,16.94,1479.5,3.2,66.3,54,20.3,14,5,1861,0
2007,17.43,922,3.6,64,62,20.9,14.3,3,2163,0
2008,16.98,1041,3.6,66.7,60,20.5,14,0,2114,2
2009,17.13,1197.5,3.6,66.4,48,20.6,14.1,2,2047,0
2010,17.21,1633,3.7,67.8,72,20.7,14.3,8,2092,0
2011,16.83,1624.5,3.8,67.3,66,20.3,13.8,8,2104,0
2012,16.63,1254.5,3.8,63.2,61,20.1,13.7,5,2015,0
2013,17.03,1297.5,3.7,62.9,66,20.6,13.9,6,2255,2
2014,16.73,1222,3.8,63.3,44,20.3,13.7,5,2096,1
2015,17.26,1578,3.6,64.8,42,20.6,14.3,3,1988,2
2016,17.81,1346.5,3.6,64.8,62,21.4,14.7,4,2115,0
2017,16.79,1196,3.6,65,60,20.3,13.8,6,2195,0
2018,17.35,2037.5,3.7,66.8,61,20.8,14.3,13,2248,0
2019,17.65,1177.5,3.6,66.4,56,21.1,14.6,3,2144,0
2020,17.63,1614.5,3.6,66.2,50,21.1,14.7,9,2186,0
2021,17.53,1637.0,3.6,66.5,49,21.1,14.4,8,2179,0
