Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,16.05,1998.0,1.7,65.4,56,21.3,11.5,10,2259,1
1982,16.19,2585.0,1.8,67.8,38,21.2,11.8,18,2294,1
1983,16.34,1968.5,1.8,66.9,58,21.6,11.9,9,2460,0
1984,15.88,2259.5,1.8,66.1,63,20.9,11.6,11,2279,2
1985,16.52,2572.5,1.8,68.9,70,21.5,12.3,13,2281,0
1986,15.86,1969.5,1.8,67.4,56,21.1,11.4,12,2371,0
1987,16.53,2243.5,1.7,69.8,55,21.7,12.1,12,2204,10
1988,16.25,2582.5,1.9,66.5,68,21.5,11.8,14,2151,0
1989,16.85,3368.5,1.9,69.9,56,21.8,12.5,22,2137,0
1990,17.40,3204.0,1.9,70.4,80,22.2,13.1,17,2265,0
1991,17.24,2441.0,1.8,69.8,67,21.9,13.2,12,1963,0
1992,16.66,2788.0,1.9,68.4,44,21.6,12.3,16,2077,0
1993,16.39,3354.5,1.9,68.1,30,21.2,12.2,19,1944,0
1994,17.46,1835.0,2.0,65.0,78,22.5,13.0,8,2387,0
1995,16.43,1908.5,2.0,64.2,64,21.6,11.9,10,2326,0
1996,16.35,1732.5,1.9,67.0,59,21.5,11.9,8,2166,2
1997,16.93,2152.5,1.9,68.7,56,21.9,12.5,11,2212,1
1998,18.18,4383.0,1.8,70.1,80,22.8,14.1,22,2027,0
1999,17.18,3581.0,1.9,68.3,61,22.1,13.0,19,2068,1
2000,17.10,2500.0,1.9,70.1,74,22.2,12.8,16,2192,0
2001,17.15,2417.0,1.9,67.6,71,22.3,12.8,12,2230,0
2002,17.19,2058.0,2.0,67.4,70,22.1,12.9,9,2100,0
2003,17.31,2904.0,1.8,67.1,63,22.0,13.3,13,2066,3
2004,17.93,3397.0,1.8,67.4,77,23.0,13.6,18,2264,0
2005,17.03,1745.5,1.7,67.5,76,22.0,12.8,10,2303,18
2006,17.68,3212.5,1.8,69.5,63,22.4,13.7,16,2034,0
2007,17.88,1859.0,1.7,67.8,77,22.8,13.7,6,2211,1
2008,17.30,2230.5,1.7,69.2,72,22.2,13.2,8,2183,0
2009,17.52,2062.5,1.7,68.5,62,22.4,13.4,8,2137,0
2010,17.55,3093.0,1.7,70.4,76,22.2,13.5,19,2118,0
2011,17.16,2686.0,1.7,68.8,73,21.9,13.1,17,2126,0
2012,16.83,2985.0,1.7,70.7,67,21.6,12.8,16,2066,0
2013,17.27,2327.0,1.8,67.8,84,22.2,13.0,14,2373,0
2014,16.97,3658.5,1.8,68.3,48,21.8,12.9,22,2095,0
2015,17.48,2966.5,1.7,70.8,50,22.3,13.4,14,2098,0
2016,18.13,2823.0,1.7,70.9,76,22.8,14.2,18,2097,0
2017,17.05,2022.0,1.7,68.3,76,22.0,12.9,12,2218,0
2018,17.43,3092.5,1.8,71.8,67,22.2,13.3,21,2265,2
2019,17.80,2538.5,1.7,71.2,58,22.6,13.7,16,2135,0
2020,17.78,3238.5,1.7,71.1,61,22.7,13.6,18,2310,0
