Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.38,996.5,1.7,66.3,56,19.3,8.5,2,2319,33
1982,13.98,1349,1.6,66.6,39,19.7,9.3,4,2257,2
1983,13.94,1365,1.9,66.1,47,19.8,9.3,5,2356,5
1984,13.43,765,1.9,64.8,69,19.3,8.7,1,2419,128
1985,14.15,1180,1.9,67.3,65,20,9.6,3,2340,23
1986,13.65,882.5,2,65,58,19.7,8.8,2,2293,76
1987,14.8,725,1.9,65.2,71,20.8,10.1,1,2274,48
1988,13.72,1076,1.8,64,48,19.5,9.1,2,2129,13
1989,14.48,1419,1.7,68,54,20,10,5,2065,11
1990,15.31,1102,1.7,66.8,75,21.1,10.8,4,2231,33
1991,14.82,1652.5,1.7,67.7,61,20.2,10.5,7,1954,18
1992,14.59,1074,1.8,64.8,58,20.5,9.9,3,2139,15
1993,14.16,1329,2,64.8,38,19.8,9.7,5,1993,1
1994,15.48,795.5,2.3,63.1,80,21.5,10.8,0,2351,42
1995,14.54,845,2.2,62.7,58,20.6,9.8,2,2318,0
1996,14.22,865,2.3,64.4,65,20.4,9.5,1,2277,31
1997,14.9,908.5,2.2,65.3,70,21.1,10,1,2307,16
1998,15.45,1549,2,71.8,81,21.1,11.1,4,1901,77
1999,15.19,1027.5,2.2,66.2,74,21.3,10.4,2,2221,13
2000,15.13,1479,2.3,63.9,83,21,10.5,6,2253,0
2001,14.57,1160.5,2.2,63.8,74,20.7,9.9,4,2337,80
2002,14.96,1050.5,2.2,61.8,73,20.9,10.3,3,2245,12
2003,14.78,1425.5,2.1,64.4,55,20.3,10.4,8,1971,19
2004,15.82,1613.5,2.2,61.4,86,22,11,7,2402,36
2005,14.87,818,2.3,59.9,80,20.9,10.1,1,2279,9
2006,15.07,1111.5,2.1,63.8,63,20.7,10.6,2,1961,11
2007,15.34,1052.5,2.2,62.2,74,21.3,10.7,6,2263,0
2008,14.78,1095.5,2.1,63.3,64,20.7,10.3,1,2225,25
2009,15.08,1023,2.1,62.3,63,20.9,10.5,0,2134,3
2010,15.18,1320,2.1,64.5,82,21.1,10.5,2,2177,12
2011,14.96,1423.5,2.2,62.5,75,21.1,10.1,6,2307,13
2012,14.76,1003.5,2.3,62.8,82,20.8,10,1,2358,14
2013,15.41,939,2.4,59.9,88,21.8,10.4,5,2462,15
2014,14.7,1190,2.2,62.4,64,20.8,9.9,6,2335,159
2015,15.58,1114.5,2.1,64,65,21.4,10.9,3,2205,15
2016,15.69,1125,2.1,63.2,86,21.6,10.9,2,2188,15
2017,14.93,1076,2.3,58.3,80,21,10,5,2357,9
2018,15.95,1153.5,2.2,59.5,86,22.1,11.1,4,2391,10
2019,15.85,1168,2.2,62.4,75,21.8,11.2,3,2216,1
2020,15.88,1431,2.1,67.9,74,21.8,11.2,4,2250,3
2021,15.73,1246.0,2.2,65.9,66,21.8,10.9,4,2320,4
