Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.65,1799.0,1.8,72.0,69,20.8,11.0,8,2147,0
1982,16.37,2284.5,1.9,72.1,59,21.5,11.7,7,2155,0
1983,16.53,1716.0,2.1,73.0,76,21.7,12.0,5,2170,2
1984,16.12,1724.5,2.0,72.0,70,21.3,11.6,6,2241,19
1985,16.65,2121.0,2.1,73.5,85,21.5,12.3,6,2195,0
1986,15.97,1799.5,1.9,72.2,63,21.1,11.3,6,2032,1
1987,16.54,2752.5,2.0,74.3,66,21.7,11.9,16,1980,4
1988,16.22,2204.0,2.0,72.0,77,21.4,11.7,12,2030,2
1989,16.89,2104.5,2.0,71.8,66,22.1,12.4,11,2019,0
1990,17.48,1952.5,2.0,71.7,87,22.6,12.9,9,2083,1
1991,16.82,2222.5,2.1,73.2,74,21.6,12.6,13,1758,0
1992,16.77,1592.5,2.0,71.9,61,21.8,12.3,8,1907,0
1993,16.18,3369.0,2.1,73.7,42,20.9,11.8,21,1722,0
1994,17.43,920.5,2.0,68.9,89,22.7,12.7,2,2226,0
1995,16.21,1875.5,1.9,71.1,69,21.3,11.7,7,2111,0
1996,16.48,1736.5,2.0,70.5,81,21.5,11.9,10,2030,0
1997,16.96,2395.0,2.0,70.8,71,21.9,12.4,15,2102,2
1998,18.16,1905.0,1.9,72.4,98,22.9,14.0,8,1864,2
1999,17.00,1946.0,2.3,70.2,86,22.2,12.5,11,1871,2
2000,17.09,1825.5,2.3,68.5,81,22.3,12.6,9,2076,0
2001,17.21,1798.5,2.3,67.8,82,22.4,12.7,7,2053,3
2002,17.40,1543.5,2.4,65.8,92,22.5,13.0,5,2062,0
2003,17.37,2256.0,2.5,67.8,72,22.4,13.0,9,1918,1
2004,17.89,1804.5,2.4,66.0,105,23.3,13.1,9,2194,1
2005,17.13,1324.5,2.3,65.9,106,22.3,12.7,5,2057,3
2006,17.60,2800.5,2.4,67.8,78,22.6,13.3,13,1924,0
2007,18.00,1810.5,2.3,67.3,99,23.2,13.4,8,2124,0
2008,17.15,2353.0,2.2,71.3,87,22.2,12.8,16,2026,0
2009,17.48,1565.5,2.3,69.1,83,22.5,13.1,5,1985,0
2010,17.40,2072.5,2.3,70.1,85,22.3,13.1,8,1886,10
2011,16.86,2154.5,2.3,68.7,82,21.8,12.6,10,1886,1
2012,16.68,2209.5,2.2,69.0,76,21.5,12.5,7,1861,0
2013,17.18,1975.0,2.4,69.9,100,22.2,12.7,9,2197,0
2014,16.75,1694.0,2.3,71.2,60,21.7,12.4,7,1884,0
2015,17.23,2292.0,2.1,73.5,56,22.1,13.1,12,1867,0
2016,17.97,2504.0,2.0,74.5,92,22.9,13.8,10,1932,4
2017,16.93,1818.5,2.2,71.7,77,21.9,12.6,10,2069,0
2018,17.48,1950.5,2.1,71.9,85,22.5,13.1,7,2090,4
2019,17.73,2026.5,2.1,72.3,80,22.7,13.4,7,2070,0
2020,17.59,2467.5,2.2,72.3,73,22.7,13.2,16,2131,1
