Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,5.13,1273.5,3.6,78.8,0,9.2,0.8,6,2113,162
1982,6.12,897.5,3.5,79.1,0,10.1,1.9,3,2114,126
1983,5.14,1011.5,3.7,78.8,0,9.2,1,1,2138,131
1984,5.29,704.5,3.6,77.3,1,9.2,1.3,2,2150,201
1985,5.38,915,3.6,79.3,0,9.5,1.1,2,2124,213
1986,4.99,1001,3.7,78.1,0,9.1,0.8,3,2261,121
1987,5.42,909.5,3.7,78.9,0,9.5,1.3,2,1990,137
1988,5.63,929,3.6,77.1,0,9.5,1.6,1,1989,99
1989,6.69,1075.5,3.8,78.7,0,10.3,3,5,1835,137
1990,7.23,1347,3.6,79.2,0,11.1,3.3,5,1929,143
1991,6.86,890,3.4,75.7,0,10.7,2.9,2,1887,138
1992,5.88,958,3.3,78.1,0,9.8,1.9,2,1760,80
1993,6,1302.5,3.7,78.3,0,9.8,2.3,5,1802,147
1994,6.79,963.5,3.7,76.2,0,10.7,2.9,3,2012,159
1995,6.59,1124.5,3.5,79.3,0,10.3,2.9,1,1747,204
1996,5.76,1005,3.5,75.7,0,9.5,1.9,2,1940,146
1997,6.14,1067,3.6,77,0,10,2.4,4,1854,96
1998,6.03,1293.5,3.6,74.8,0,9.9,2.2,6,1906,109
1999,6.72,959.5,3.7,76.9,0,10.8,2.6,4,1963,149
2000,6.28,1046,4.1,78.1,0,10.4,2,3,1849,227
2001,5.41,811.5,5,75.6,0,9.5,1.2,3,1970,64
2002,6.31,992.5,5.1,76.6,0,10.2,2.4,2,1938,83
2003,5.63,1181.5,4.7,76.8,0,9.6,1.7,3,1848,98
2004,7.06,819.5,5.1,75.6,0,11.1,3,0,2069,169
2005,6.51,934,5,74.7,0,10.5,2.5,2,1955,125
2006,6.72,1252.5,5.1,74.5,0,10.7,2.9,5,1897,129
2007,6.74,1127,4.9,74.3,1,10.7,2.8,4,2053,82
2008,6.73,838,4.9,77.5,0,10.8,2.8,2,1919,25
2009,6.79,1577,5.1,76.6,0,10.7,3,7,1933,167
2010,7.32,1079.5,5,76.7,1,11.1,3.5,5,1865,165
2011,6.93,904,4.8,76.1,1,10.8,3.2,2,1993,77
2012,6.72,1196.5,5,78.8,0,10.5,3.1,3,1814,154
2013,7.06,1229.5,5.2,77.9,0,10.9,3.3,4,1887,90
2014,6.98,1219.5,5,75.2,0,11.1,2.9,5,2153,118
2015,7.74,1158,5.2,77.8,0,11.6,4.1,5,1933,140
2016,6.99,1498,5.2,76.4,1,10.9,3,4,2046,126
2017,6.69,883,4.9,77.8,1,10.6,2.8,2,2129,109
2018,7.17,1136.5,5,78.7,2,11.1,3.2,4,1915,123
2019,7.08,1098,4.8,78.2,1,11.2,2.8,5,2143,63
2020,7.48,856,4.9,79.3,1,11.4,3.7,1,2016,114
2021,7.58,1319.5,5.1,79.4,1,11.6,3.5,5,2109,133
