Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.63,1458.0,1.4,67.1,64,19.5,10.4,2,1808,7
1982,15.19,1369.5,1.4,66.7,53,20.2,10.9,3,1999,13
1983,15.39,1928.0,1.6,67.8,58,20.4,11.1,4,2047,12
1984,14.93,1162.0,1.8,65.9,70,19.7,10.9,4,2013,69
1985,15.68,1599.0,1.7,66.4,70,20.5,11.6,6,1907,16
1986,14.97,1479.0,1.7,66.4,65,20.0,10.8,5,2171,16
1987,15.91,1270.0,1.7,66.9,78,21.0,11.6,3,1809,23
1988,15.02,1451.0,1.7,66.7,59,19.8,11.0,5,1670,15
1989,15.75,1847.0,1.7,69.0,61,20.5,11.6,5,1719,6
1990,16.57,1703.5,1.7,67.0,85,21.4,12.4,6,1774,7
1991,16.13,1623.0,1.7,67.3,71,20.7,12.3,7,1619,28
1992,15.85,1341.5,1.7,66.5,62,20.6,11.8,2,1741,2
1993,15.24,1972.5,1.7,69.4,34,19.9,11.3,10,1520,23
1994,16.68,880.5,1.8,64.6,89,21.8,12.5,3,2016,26
1995,15.43,1366.0,1.7,66.6,57,20.3,11.3,8,1765,23
1996,15.33,1515.5,1.7,67.3,66,20.3,11.1,5,1807,28
1997,15.98,1558.5,1.6,67.2,69,21.0,11.7,7,1867,27
1998,17.10,1848.0,1.6,68.3,82,21.8,13.2,7,1660,2
1999,16.37,1575.5,1.7,66.7,84,21.2,12.3,6,1804,9
2000,16.24,1368.5,1.7,66.8,88,21.2,12.0,3,1780,15
2001,16.05,1234.5,1.7,64.4,76,21.2,11.7,4,1872,12
2002,16.27,1024.5,1.8,62.9,84,21.4,12.0,1,1826,0
2003,15.79,1813.5,1.7,66.2,61,20.5,11.9,5,1543,8
2004,16.83,1652.5,1.8,62.3,94,22.1,12.5,7,1940,0
2005,15.86,954.5,1.8,62.0,81,20.9,11.8,1,1844,21
2006,15.94,1582.5,1.7,64.1,71,20.7,12.0,3,1644,6
2007,16.34,1212.5,1.7,61.8,76,21.5,12.1,4,1830,0
2008,16.03,1430.5,1.9,63.2,78,21.1,11.9,2,1816,13
2009,16.10,1457.5,2.1,62.0,69,21.1,12.0,5,1775,2
2010,16.37,2061.0,2.1,63.7,85,21.3,12.3,7,1750,13
2011,15.96,1650.5,2.1,67.2,79,21.0,11.9,7,1770,10
2012,15.75,1562.0,2.1,66.7,79,20.6,11.8,2,1752,5
2013,16.18,1450.5,2.1,63.8,92,21.4,12.0,5,1940,0
2014,16.05,1377.0,2.1,64.8,72,21.1,12.1,6,1781,12
2015,16.63,2042.5,2.0,67.0,68,21.4,12.7,6,1779,42
2016,17.07,1840.0,2.1,66.0,87,22.1,13.0,7,1847,7
2017,15.99,1469.5,2.1,66.1,83,20.9,12.0,5,1873,24
2018,16.86,1770.0,2.2,65.4,75,21.8,12.8,5,1982,1
2019,16.91,1407.5,2.1,66.8,86,21.7,13.0,4,1817,7
2020,16.97,1644.5,2.0,66.8,75,21.8,13.1,7,1852,3
