Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.39,1283,2.8,64.4,40,18.4,9.1,4,2286,7
1982,14.17,1275,2.9,64.9,32,19.1,9.9,4,2244,1
1983,13.79,1163,2.9,65,40,18.8,9.6,2,2313,10
1984,13.18,816.5,2.9,64.8,51,18.3,9,2,2382,96
1985,14.1,1140.5,2.8,65.5,58,19,9.9,1,2283,23
1986,13.46,1240.5,2.9,63.5,36,18.4,9.2,5,2135,56
1987,14.7,1191.5,2.9,63.3,54,19.9,10.3,5,2238,45
1988,13.64,1356.5,2.9,64.1,32,18.6,9.5,1,2028,8
1989,14.57,1657.5,2.7,66.6,40,19.2,10.6,5,1953,7
1990,15.28,1201,2.8,64.8,64,20.2,11.1,7,2156,36
1991,14.83,1438.5,2.6,65.6,50,19.7,10.8,5,1912,4
1992,14.43,1174,2.7,63.9,48,19.5,10.1,3,2083,16
1993,13.9,1346.5,2.7,63.7,24,18.7,9.7,5,1921,1
1994,15.38,970.5,2.9,61.5,72,20.5,11,2,2320,27
1995,14.47,1075.5,2.9,61.8,48,19.7,10.2,1,2259,3
1996,14.09,815.5,3,62,51,19.5,9.6,2,2242,13
1997,14.96,1078.5,3,64.8,53,20.5,10.4,2,2270,15
1998,15.27,1649.5,2.8,67.8,56,20.2,11.2,5,1751,71
1999,15.18,1495,2.9,64.7,65,20.5,10.8,5,2154,5
2000,14.91,1163,3,63.5,67,20.2,10.6,3,2176,1
2001,14.76,1316,2.9,61.6,52,20.1,10.4,5,2200,50
2002,14.81,1503,2.8,61.5,61,20.1,10.4,5,2145,19
2003,14.33,1104.5,2.7,63.2,41,19.2,10.2,3,1936,30
2004,15.54,1196,2.9,58.8,69,21,11,4,2290,10
2005,14.45,1114,2.8,60.5,67,19.8,10.1,2,2177,9
2006,14.84,1479,2.7,61.8,47,19.7,10.8,4,1894,0
2007,15.26,1310.5,2.7,59.5,61,20.5,10.8,6,2211,0
2008,14.87,1425,2.6,60.8,58,20,10.8,4,2106,14
2009,15.1,986,2.7,59.4,50,20.1,11,2,2028,2
2010,15.45,1490.5,2.6,61,82,20.6,11.1,1,2140,14
2011,14.88,1340,2.7,58.8,69,20.2,10.5,4,2227,7
2012,14.69,1074,2.9,61.7,74,19.9,10.4,2,2216,23
2013,15.23,998.5,3.1,59.8,67,20.6,10.9,2,2366,6
2014,14.88,1395.5,3,59.7,52,20,10.6,9,2344,106
2015,15.58,1232,2.7,61.7,50,20.5,11.4,4,2143,0
2016,15.63,1249,2.5,63.3,57,20.6,11.4,5,2129,33
2017,14.91,1192.5,2.6,61.8,60,20.1,10.7,3,2247,5
2018,16.05,1046.5,2.5,62.1,72,21.3,11.7,2,2381,47
2019,15.71,1447.5,2.5,63.8,59,20.8,11.5,4,2191,3
2020,15.84,1315.5,2.3,66.4,65,20.9,11.6,6,2155,2
2021,15.72,1307.5,2.4,64.6,59,20.9,11.4,5,2218,0
