Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.82,2007.5,3.1,74.3,45,18.4,9.7,7,1906,67
1982,14.38,1492.5,2.8,75.5,19,19.0,10.4,2,1923,116
1983,14.39,2016.5,3.2,76.3,36,18.9,10.6,8,1980,145
1984,13.93,1338.5,3.4,75.3,50,18.5,10.1,3,2042,184
1985,14.55,1928.5,3.4,76.6,54,19.1,10.8,5,1928,102
1986,13.79,1576.0,3.3,77.5,35,18.4,9.9,3,1849,113
1987,14.73,1627.5,3.4,76.9,31,19.5,10.6,5,1755,100
1988,14.11,1918.5,3.6,76.4,16,18.5,10.4,5,1579,85
1989,14.81,2103.5,3.2,77.1,34,19.4,11.0,7,1661,24
1990,15.63,1987.5,3.3,77.3,62,20.2,11.8,3,1780,59
1991,14.74,1880.5,3.3,77.8,28,19.1,11.2,5,1417,76
1992,14.91,1585.0,3.3,75.4,41,19.4,11.1,2,1689,29
1993,14.19,2259.0,3.3,78.1,9,18.5,10.5,9,1369,43
1994,15.52,1505.5,3.2,74.8,69,20.4,11.5,4,1988,57
1995,14.38,1783.5,3.3,75.7,44,18.8,10.7,4,1613,82
1996,14.38,1509.5,3.1,75.7,38,19.0,10.6,4,1720,78
1997,14.98,2314.5,3.2,75.7,44,19.6,11.0,10,1774,25
1998,15.98,1800.5,3.3,76.9,51,20.3,12.4,5,1599,17
1999,15.21,1686.5,3.3,76.6,45,19.7,11.4,2,1662,74
2000,15.27,1567.5,3.3,73.8,67,19.9,11.5,5,1811,105
2001,15.04,2061.0,3.4,73.7,49,19.7,11.2,7,1745,72
2002,15.31,1639.5,3.5,72.4,59,20.0,11.5,1,1754,28
2003,14.84,2223.5,3.2,74.4,32,19.2,11.3,6,1518,50
2004,15.79,2002.0,3.3,72.9,55,20.6,11.8,7,1856,70
2005,14.96,1473.0,3.6,72.3,62,19.5,11.2,3,1706,121
2006,14.98,1885.5,3.3,75.4,47,19.4,11.4,6,1576,82
2007,15.70,1492.0,3.3,72.7,49,20.3,11.8,4,1799,11
2008,15.13,1477.5,3.1,74.8,53,19.8,11.4,2,1732,58
2009,14.98,1615.0,3.3,75.1,30,19.4,11.2,2,1529,84
2010,15.49,1857.0,3.5,74.1,64,19.9,11.8,3,1704,64
2011,15.03,1975.5,3.3,76.6,59,19.5,11.4,6,1637,127
2012,15.05,1561.5,3.3,75.8,65,19.5,11.4,3,1721,82
2013,15.43,2035.0,3.4,75.4,65,19.9,11.6,9,1843,64
2014,14.94,1818.5,3.3,76.5,37,19.4,11.2,3,1721,59
2015,15.40,1706.0,3.2,77.2,33,19.7,11.7,2,1740,36
2016,15.93,1800.0,3.2,78.4,56,20.3,12.3,3,1664,41
2017,15.29,1760.5,3.4,75.6,49,19.7,11.4,5,1852,93
2018,15.60,1976.5,3.3,76.4,57,20.1,11.8,8,1851,125
2019,15.91,1490.5,3.1,76.3,48,20.5,12.0,3,1785,1
2020,15.84,2015.0,3.3,76.8,52,20.3,12.1,10,1781,51
