Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,10.7,1187,2.1,67.7,31,16.7,5.5,3,2235,91
1982,11.18,1051.5,2.1,69.4,18,17.4,6,2,2299,37
1983,11.09,1188,2.3,70.3,31,17.1,6,2,2252,82
1984,10.53,719.5,2.3,68.8,49,16.6,5.5,1,2313,193
1985,11.48,1266.5,2.4,70,48,17.3,6.6,3,2227,105
1986,10.74,733.5,2.4,67.9,33,17,5.4,0,2195,106
1987,12.08,636.5,2.5,66.6,49,18.5,6.7,0,2222,135
1988,10.8,1121,2.1,68.6,22,16.7,6,3,1966,111
1989,11.61,1295.5,2.1,70.9,33,17.4,6.7,3,1984,87
1990,12.58,881,2.4,68.8,67,18.8,7.5,1,2155,59
1991,11.89,1402.5,2.2,71.3,37,17.7,7.1,4,1906,79
1992,11.67,860.5,2.3,69.7,46,17.9,6.5,0,2059,100
1993,11.16,1290.5,2.3,70.8,10,17.2,6.2,0,1965,45
1994,12.43,642.5,2.2,67.9,65,18.9,7.2,1,2250,55
1995,11.3,839,2.3,68.7,41,17.6,6,2,2217,50
1996,11.24,909.5,2.2,68.1,47,17.7,6,2,2223,84
1997,12.08,809,2.5,66.8,56,18.6,6.7,1,2145,62
1998,12.73,1282.5,2.3,71.9,49,18.7,7.9,3,1819,143
1999,12.37,1148.5,2.4,68.8,56,18.7,7.2,6,2141,50
2000,12.13,1003,2.3,68.6,67,18.4,7.1,2,2113,34
2001,11.84,939,2.3,68.2,64,18.2,6.5,1,2198,157
2002,12.24,1078.5,2.5,67.3,56,18.4,7.3,3,2145,120
2003,11.77,1105.5,2.3,69.5,30,17.7,6.9,1,1955,132
2004,12.77,1294.5,2.4,66.1,65,19.2,7.5,3,2248,75
2005,11.96,653,2.4,64.5,57,18.2,6.9,1,2140,83
2006,12,1357.5,2.2,67.3,51,17.9,7.2,4,1977,50
2007,12.32,804,2.3,65.5,50,18.6,7.2,4,2146,44
2008,11.89,1034,2.1,66.5,50,18.4,6.8,0,2221,75
2009,12.19,1089.5,2.3,65.4,40,18.4,7.2,1,2043,34
2010,12.62,1306.5,2.5,66.2,72,18.5,7.8,1,2065,40
2011,12,1070,2.4,66.8,59,18.2,7,3,2187,41
2012,11.99,987,2.4,68,57,17.9,7.3,0,2200,95
2013,12.4,1045.5,2.7,65.4,55,18.6,7.3,2,2346,82
2014,11.87,1040.5,2.5,66.6,39,17.9,6.9,2,2188,146
2015,12.73,1127,2.4,67.8,41,18.7,7.9,1,2169,65
2016,13.05,1177.5,2.6,67.1,61,19,8.2,4,2109,60
2017,11.97,917,2.5,66.1,51,18.1,6.9,2,2236,38
2018,13.17,1048,2.7,64.7,64,19.3,8,0,2348,59
2019,12.83,1023.5,2.5,66.6,46,18.9,7.8,4,2170,12
2020,13.07,1066.5,2.5,67.2,54,19.1,8.2,1,2116,28
2021,12.98,1215.5,2.6,65.8,42,19.1,8.0,5,2226,12
