Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.25,1195.5,1.8,63.7,55,19.4,11.2,3,2086,1
1982,15.79,1155.5,1.8,64.6,34,20.0,11.8,3,2185,3
1983,16.23,1148.0,2.1,67.0,55,20.5,12.3,2,2269,5
1984,15.58,1146.0,2.0,68.3,61,19.8,11.7,4,2273,31
1985,16.17,1206.0,2.0,69.8,68,20.3,12.3,0,2113,0
1986,15.48,1066.5,2.0,68.8,52,19.7,11.5,2,2008,4
1987,16.34,1450.5,2.0,69.9,58,20.7,12.3,4,2089,18
1988,15.68,1368.0,2.0,68.7,44,19.9,11.8,4,2046,3
1989,16.33,1447.0,1.9,69.1,50,20.6,12.4,3,2043,0
1990,16.97,1568.5,2.0,69.2,76,21.3,13.0,5,2103,0
1991,16.52,1401.0,2.0,69.5,63,20.6,12.9,4,1778,2
1992,16.33,1289.0,2.0,68.0,48,20.5,12.5,3,1845,0
1993,15.80,1933.0,1.9,69.8,26,19.9,12.0,9,1727,0
1994,17.11,696.0,2.0,65.1,76,21.5,13.0,1,2252,0
1995,16.05,1393.0,2.1,65.8,63,20.3,12.1,6,2179,0
1996,16.04,1131.5,2.0,66.5,58,20.4,12.1,5,2084,1
1997,16.68,1440.0,2.0,66.8,58,21.0,12.7,3,2133,0
1998,17.64,1381.5,1.8,68.8,74,21.9,13.9,5,1879,0
1999,16.64,1503.5,2.0,67.6,62,21.1,12.8,6,1852,0
2000,16.66,1150.0,1.9,66.6,75,21.2,12.8,5,2035,0
2001,16.58,1501.5,1.9,65.4,64,21.0,12.6,6,2044,0
2002,16.96,930.5,2.1,63.2,72,21.4,13.0,2,2032,0
2003,16.53,1400.0,2.0,68.1,54,20.9,12.7,3,1914,1
2004,17.26,1786.0,2.0,65.5,75,21.9,13.1,11,2273,3
2005,16.58,1179.0,2.0,64.6,69,20.9,12.7,2,2075,1
2006,16.67,1469.0,1.9,68.2,63,21.0,12.8,5,1917,0
2007,17.29,1051.5,2.2,64.8,76,21.7,13.4,5,2098,0
2008,16.70,1315.0,2.2,66.0,73,21.3,12.8,1,2080,0
2009,16.87,1302.5,2.2,62.8,66,21.4,12.9,6,2003,0
2010,16.94,1441.0,2.2,62.3,76,21.4,13.1,3,2000,0
2011,16.53,1633.0,2.2,61.9,71,21.0,12.7,9,1956,0
2012,16.31,1369.0,2.2,67.9,70,20.7,12.5,3,1902,5
2013,16.84,1622.5,2.3,66.8,82,21.3,12.8,8,2208,1
2014,16.40,1417.5,2.2,67.5,53,20.9,12.6,4,1901,0
2015,16.79,1686.5,2.1,69.6,43,21.1,13.0,4,1888,0
2016,17.58,1583.5,2.1,70.0,74,21.9,13.9,6,1925,0
2017,16.71,1529.5,2.2,66.9,67,21.0,12.9,6,2073,0
2018,17.11,1796.5,2.2,68.3,69,21.5,13.3,10,2172,0
2019,17.43,1144.5,2.2,68.9,72,21.9,13.6,4,2047,0
2020,17.33,1662.0,2.2,68.8,62,21.8,13.5,9,2163,0
