Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,12.33,1217,1.9,74.5,30,17.6,7.8,2,2112,5
1982,13.36,1445,2.2,75.8,11,18.4,8.9,3,2071,6
1983,12.77,1300,2.3,75,23,17.9,8.4,2,2088,2
1984,12.06,760.5,2.4,74.2,35,17.1,7.7,0,2185,69
1985,13.32,1464,2.4,75.3,44,18.2,9,5,2060,13
1986,12.54,1294.5,2.3,75.2,23,17.5,8.2,4,2028,36
1987,13.59,1148.5,2.3,75.3,35,18.7,9.1,0,2003,43
1988,12.84,1446.5,2.2,73.4,10,17.7,8.5,5,1818,9
1989,13.88,1683.5,2.1,75.3,24,18.7,9.5,5,1866,4
1990,14.56,1490.5,2.1,74.8,40,19.3,10.2,6,1939,49
1991,13.97,1954.5,2.2,75,28,18.7,9.8,7,1792,5
1992,13.48,1327.5,2.2,76.3,30,18.5,9.1,2,1829,18
1993,12.92,1393.5,2.2,76.9,10,17.7,8.6,2,1651,0
1994,14.32,1236.5,2.1,75.6,50,19.4,9.9,4,2061,35
1995,13.62,1254,2.1,74.2,36,18.8,9.1,4,1961,1
1996,12.99,1162.5,2.1,73.4,27,18.3,8.4,4,2034,23
1997,14,1073.5,2.2,74.8,32,19.4,9.3,3,2097,0
1998,14.06,1663.5,2.2,82.1,27,19,9.9,3,1597,26
1999,14.53,1272,2.4,72.7,49,19.8,9.9,4,2047,2
2000,14.19,1400,2.2,73.8,49,19.4,9.7,4,2057,14
2001,13.69,1243.5,2.4,72.3,29,19,9.1,4,2079,23
2002,14.03,1180,2.3,71.8,45,19.2,9.6,4,2003,15
2003,13.29,1439,2.3,74.4,27,18.2,9.1,2,1756,7
2004,14.4,1406.5,2.3,71.8,55,19.8,9.8,3,2143,5
2005,13.43,1147,2.2,71.8,45,18.7,9,3,2017,23
2006,13.92,1671.5,2.2,73.8,23,18.6,9.9,5,1639,18
2007,14.44,1367,2.2,71.9,38,19.6,10,5,2020,0
2008,13.86,1181,2.2,72.6,24,18.7,9.7,4,1900,2
2009,14.18,1461,2.2,72,21,19.1,9.9,7,1868,2
2010,14.48,1530.5,2.4,73,58,19.5,10.1,4,2013,16
2011,14.05,1498.5,2.3,72.4,47,19.2,9.5,7,2082,25
2012,13.88,1485.5,2.4,73.5,56,18.8,9.6,7,2202,9
2013,14.28,1338,2.3,72.3,39,19.4,9.7,5,2259,2
2014,14.16,1471,2.3,71.6,36,19.3,9.6,4,2250,24
2015,14.78,1226.5,2.4,73.9,40,19.6,10.5,1,2118,0
2016,14.82,1426,2.4,73.6,38,19.8,10.5,5,2062,4
2017,14.15,1126.5,2.3,71.4,33,19.3,9.6,5,2145,12
2018,15.26,1282.5,2.4,72.2,58,20.5,10.7,2,2199,28
2019,14.93,1391,2.4,70.9,42,19.9,10.5,4,2089,6
2020,15.02,1422,2.4,73.6,48,20,10.7,4,2059,0
2021,14.99,1661.0,2.3,70.3,32,20.3,10.3,8,2263,0
