Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,16.96,1807,2.9,72.2,81,21.9,12.5,8,2332,0
1982,17.15,2382,2.8,74.7,42,21.9,12.8,16,2251,0
1983,17.41,3094.5,2.9,74.3,61,22.2,13.2,18,2306,0
1984,16.62,1932,2.7,74.4,63,21.3,12.4,6,2282,0
1985,17.28,2591,2.8,75.3,74,22,13.2,14,2324,0
1986,16.86,1908,2.8,72.8,67,21.7,12.5,7,2196,0
1987,17.57,2758.5,2.8,75.9,62,22.2,13.3,17,2000,2
1988,17.14,2020,2.9,73.6,60,21.9,12.7,11,2141,0
1989,17.45,2903.5,2.7,74.4,53,22.1,13.2,17,2058,0
1990,18.02,3043,2.8,73.1,86,22.6,13.9,19,2228,0
1991,17.92,2664.5,2.8,73.6,75,22.3,14,15,1843,0
1992,17.58,2308,2.7,72.3,56,22.2,13.4,11,1985,0
1993,17.24,4174.5,2.9,72.8,40,21.8,13.1,28,1956,0
1994,18.16,1942.5,2.8,72.5,80,22.8,13.8,7,2299,0
1995,17.29,2041.5,2.9,71.2,76,22.1,12.7,11,2368,0
1996,17.39,2098,2.9,72.2,66,22,13.1,10,2161,0
1997,17.89,2069,2.9,72.1,70,22.6,13.6,6,2210,0
1998,19.17,2681,2.7,75,83,23.7,15.3,15,1960,0
1999,17.89,3091.5,2.9,71.8,69,22.8,13.8,15,1942,0
2000,17.88,2594,3,72.4,62,22.5,13.9,13,2105,0
2001,17.7,2650.5,3.2,71.8,65,22.3,13.5,11,2079,0
2002,17.95,1789.5,3.2,70.7,64,22.5,13.8,6,2086,0
2003,17.98,2700.5,3.3,71.6,65,22.4,13.8,19,2108,0
2004,18.23,3064,3.3,71.6,70,23,14,20,2284,0
2005,17.44,2219.5,3.4,69.4,67,22.1,13.3,8,2283,1
2006,17.88,2435.5,3.2,72.4,63,22.5,13.8,10,2003,0
2007,18.13,2464.5,3.3,71.4,77,22.8,13.9,11,2247,0
2008,17.39,2796.5,3.1,73.3,58,21.9,13.4,13,2144,0
2009,17.75,2219,3.2,72.7,58,22.4,13.6,12,2172,0
2010,17.73,2811,3.2,75.3,73,22.1,13.7,12,1988,0
2011,17.3,2590,3.3,73.3,68,21.8,13.3,15,2044,0
2012,17.19,3191.5,3.2,74.2,63,21.6,13.3,13,2010,0
2013,17.88,2079.5,3.4,72.6,74,22.6,13.7,13,2411,0
2014,17.38,2731.5,3.2,75.9,50,22,13.3,19,2072,0
2015,17.72,3193,3,76.9,46,22.2,13.8,18,1967,0
2016,18.56,2951.5,3.1,77.3,76,22.9,14.7,14,2051,0
2017,17.63,2721.5,3.3,74.2,68,22.3,13.5,14,2224,0
2018,17.84,3167.5,3.2,77,61,22.3,13.9,17,2192,0
2019,18.41,3045.5,3.1,76.8,60,22.8,14.5,15,2045,0
2020,18.28,2279.5,3.1,75.7,66,22.9,14.1,14,2208,0
2021,18.18,3126.0,3.3,76.2,57,22.8,14.0,17,2146,0
