Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,9.01,1417,2.6,73.7,12,13.7,4.7,1,1932,266
1982,10.18,1187,2.7,73,11,15.2,5.6,3,2082,130
1983,9.61,1237.5,3,74.5,12,14.6,5.1,2,1982,184
1984,9.06,1165,2.8,75,27,13.9,4.7,2,2092,347
1985,9.86,1027.5,2.8,74.9,35,14.6,5.5,1,1938,284
1986,9.36,1116,3,72.7,16,14.2,4.9,1,1727,176
1987,10.11,1269,3.1,73,13,15.1,5.4,3,1772,221
1988,9.47,1081.5,3,73.9,17,14.2,5.4,3,1516,186
1989,10.87,1195.5,3.2,72.8,26,15.8,6.4,3,1712,129
1990,11.25,1702,2.9,74.2,25,16.2,6.8,4,1696,98
1991,10.47,1454.5,3,73,3,15.1,6.2,6,1606,211
1992,10.17,1043.5,3,73.3,14,14.9,5.9,0,1617,146
1993,9.67,1206,3,73.3,1,14.3,5.5,1,1488,199
1994,10.84,827.5,3,71.8,48,15.9,6.3,1,1868,210
1995,10.25,1414.5,2.9,74.6,10,15,6,3,1542,192
1996,9.7,978.5,2.9,74.5,9,14.6,5.5,0,1661,163
1997,10.51,1192,2.9,74.6,18,15.3,6.1,0,1642,157
1998,10.6,1573.5,2.6,74.8,7,15.2,6.4,3,1545,195
1999,10.88,1209,2.6,73.8,34,15.8,6.4,2,1659,195
2000,10.63,1417.5,2.9,74.5,34,15.4,6.4,3,1703,211
2001,9.91,1069.5,2.9,73.3,15,14.9,5.4,2,1745,237
2002,10.23,1620.5,2.9,75.3,20,15.1,5.9,5,1594,223
2003,10.22,1212.5,3,73.7,4,14.9,6,3,1603,181
2004,10.9,1516.5,3.1,71.7,23,15.6,6.6,5,1667,243
2005,9.99,1376.5,3,72.6,19,14.6,5.9,3,1641,324
2006,10.21,1142.5,3,72.5,19,14.8,6.1,2,1581,179
2007,10.69,1398,2.9,71,22,15.5,6.5,2,1782,219
2008,10.63,1020.5,3,71.3,13,15.6,6.3,1,1775,139
2009,10.62,1274.5,2.9,74,15,15.5,6.2,0,1689,181
2010,11.01,1634,2.8,73.8,50,15.6,7,5,1566,322
2011,10.53,1229,2.9,73.3,27,15.3,6.3,5,1727,158
2012,10.79,1029.5,2.9,75.3,49,15.6,6.6,2,1806,255
2013,10.56,1643,2.9,76.9,19,15.2,6.4,6,1671,203
2014,10.62,1280,2.9,73.9,24,15.6,6.2,2,1852,304
2015,11.55,1094,2.9,72.7,26,16.5,7.1,0,1872,203
2016,11.23,1318,2.9,73.6,31,16.1,6.8,6,1824,153
2017,10.59,1409.5,2.8,76.5,19,15.3,6.3,6,1640,225
2018,11.04,1322,2.8,76,39,15.9,6.6,3,1778,205
2019,11.28,1029.5,2.9,74.1,31,16.3,6.7,1,1883,141
2020,11.38,1462,2.8,77.1,29,16.1,7.3,5,1564,112
2021,11.43,1268.5,2.9,77.3,30,16.4,7.0,2,1781,190
