Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,10.65,1001.5,2,71.9,35,15.8,6.3,2,2021,249
1982,11.66,836.5,2.2,70,29,17.2,7.2,1,2128,110
1983,11.35,1083.5,2.5,74.1,32,16.5,7.1,1,2114,155
1984,10.82,820,2.4,72.8,52,15.9,6.7,0,2142,365
1985,11.69,1173,2.5,74,50,16.9,7.6,3,2102,127
1986,10.95,643,2.5,71.7,35,16.4,6.7,1,2221,87
1987,12.17,556,2.6,70,44,17.8,7.7,0,1978,153
1988,10.99,1003,2.5,72.6,23,16.1,7,2,1817,126
1989,12.17,1080,2.6,71.6,30,17.3,8,1,1851,47
1990,12.87,879.5,2.6,71.5,57,18.2,8.6,0,2006,103
1991,12.18,1098.5,2.5,74.2,34,17.1,8.3,1,1774,238
1992,11.84,863.5,2.5,72.5,38,17.2,7.6,0,1933,140
1993,11.31,1017.5,2.5,73.2,13,16.6,7.1,0,1768,178
1994,12.68,555.5,2.5,69.8,66,18.3,8.3,0,2205,182
1995,11.45,980,2.4,72.2,37,16.7,7.3,3,1920,216
1996,11.37,888.5,2.5,72,45,16.9,7,1,2071,208
1997,11.98,843,2.4,73.6,44,17.7,7.4,1,2018,165
1998,12.81,1094.5,2.6,75.9,37,18.1,8.7,3,1733,177
1999,12.38,956.5,2.6,73.5,51,18,8,4,1987,104
2000,12.18,848,2.5,71.8,67,17.7,7.8,2,1996,103
2001,11.83,926,2.5,70.6,50,17.4,7.4,1,2038,231
2002,12.25,975,2.5,69.3,56,17.9,8,2,2019,186
2003,11.87,892.5,2.6,70.3,30,17.1,7.7,0,1809,225
2004,12.73,1167,2.5,68.5,55,18.5,8.2,2,2059,151
2005,11.63,868,2.4,69.3,49,17.1,7.5,1,1916,312
2006,12.14,1155.5,2.5,72.6,46,17.4,7.9,3,1823,153
2007,12.53,887,2.4,72.6,54,18.1,8.1,0,1972,103
2008,12.21,854.5,2.4,72,47,17.8,7.9,1,2030,167
2009,12.37,975,2.5,70.8,38,17.9,8,1,1894,76
2010,12.56,1058,2.4,72.6,62,18,8.4,0,1929,133
2011,12.03,958.5,2.5,72.3,63,17.6,7.7,2,2013,176
2012,12.07,955.5,2.5,72.3,59,17.5,7.8,2,2044,194
2013,12.33,1137.5,2.5,72.1,48,18.1,7.9,2,2130,177
2014,11.9,902,2.4,72.3,36,17.5,7.4,0,2028,231
2015,12.83,1057.5,2.5,73.3,40,18.3,8.5,1,1947,153
2016,13.1,923,2.6,73.2,59,18.8,8.6,2,2022,111
2017,11.86,1194,2.4,75.4,44,17.4,7.5,3,1976,183
2018,13.04,886,2.5,73.5,63,18.9,8.5,1,2122,91
2019,12.86,1006,2.5,73.8,48,18.5,8.4,2,1977,91
2020,13.06,1030,2.5,75.7,48,18.7,8.7,2,1949,117
2021,12.93,1075.0,2.5,74.7,45,18.7,8.5,2,2080,114
