Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,16.16,2202.5,2.3,71.5,49,19.9,12.8,9,2019,5
1982,16.78,2320,2.2,71.8,32,20.6,13.4,7,2040,0
1983,16.8,1875.5,2.4,72.4,39,20.6,13.6,10,2014,1
1984,16.43,1406,2.2,71.8,55,20.2,13.2,7,2093,10
1985,16.93,2326,2.4,73.8,57,20.5,13.8,9,1952,6
1986,16.32,1686,2.3,72.2,49,20.1,13,5,1892,6
1987,16.95,2264.5,2.2,73.8,35,20.8,13.6,9,1813,9
1988,16.68,1814,2.1,72.3,42,20.5,13.5,9,1921,1
1989,17.22,2088,2,72.8,52,21,14,8,1893,0
1990,17.81,1811,2.3,71.8,74,21.6,14.5,9,1967,0
1991,17.01,2068,2.5,69.9,41,20.6,14,10,1632,5
1992,17.1,1900.5,2.3,70,40,20.8,13.9,11,1846,0
1993,16.56,2842,2.4,71.3,20,20.2,13.4,20,1598,3
1994,17.74,922,2.2,68.8,74,21.7,14.4,1,2131,0
1995,16.61,1544.5,2.4,69.8,56,20.3,13.3,8,1962,0
1996,16.89,1263,2.3,70.8,55,20.7,13.6,4,1853,2
1997,17.3,2109,2.4,71.9,50,21,14.1,13,1958,3
1998,18.38,2020,2.2,73.3,73,22.1,15.3,11,1764,1
1999,17.32,2329,2.2,70.3,52,21.3,14.1,13,1651,1
2000,17.32,1560.5,2.2,69.2,59,21.2,14,3,1990,1
2001,17.42,1558.5,2.3,68.2,60,21.4,14,6,1921,23
2002,17.48,1614,2.3,67.5,57,21.3,14.2,5,1870,0
2003,17.44,1678,2.3,68.7,47,21.2,14.2,7,1786,3
2004,17.91,1618,2.2,66.9,80,22.1,14.4,9,2052,7
2005,17.18,1373,2.4,67.8,66,21.1,13.8,6,1935,5
2006,17.53,2535,2.4,69,50,21.3,14.3,11,1853,0
2007,18.03,1464,2.3,65.4,75,22,14.6,5,1947,0
2008,17.31,1840,2.2,67.1,69,21.2,14,11,1877,0
2009,17.44,1801,2.3,67.6,57,21.4,14.1,9,1900,1
2010,17.47,1897.5,2.3,69.8,60,21.3,14.2,7,1756,20
2011,16.98,2169,2.3,70.9,64,20.7,13.8,11,1726,5
2012,16.85,2135.5,2.3,73,56,20.7,13.7,4,1711,0
2013,17.5,1683.5,2.5,71.1,73,21.4,14.1,6,2018,0
2014,17.03,2133.5,2.3,71.4,37,21,13.7,12,1761,0
2015,17.26,2392,2.2,73.4,37,21.2,14,9,1754,0
2016,18.09,2293,2.3,75.1,67,22.1,14.8,12,1782,18
2017,17.26,1778.5,2.3,73.9,62,21.1,13.9,12,1932,3
2018,17.67,1821,2.3,74.6,65,21.6,14.3,7,1994,16
2019,17.88,1788,2.2,74.7,50,21.8,14.6,8,1959,0
2020,17.68,2709.5,2.3,74.8,44,21.6,14.3,13,1974,1
2021,18.09,2203.5,2.2,74.5,71,22.2,14.7,11,1921,25
