Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.28,1525.0,2.6,67.9,49,19.1,10.3,6,2185,31
1982,15.16,1600.5,2.8,68.8,39,20.0,11.2,6,2084,3
1983,15.40,1627.5,3.0,68.1,54,20.3,11.4,7,2256,5
1984,14.77,1105.0,2.9,69.3,60,19.5,10.9,3,2155,69
1985,15.45,1589.5,2.8,68.9,68,20.2,11.6,5,2130,3
1986,14.86,1349.5,3.0,64.9,57,19.8,10.8,4,2297,16
1987,15.90,1234.5,3.0,64.1,68,20.8,11.8,5,2179,18
1988,14.95,1589.5,2.9,65.3,55,19.6,11.1,5,2018,46
1989,15.99,1643.5,3.0,66.1,54,20.6,12.1,6,2151,0
1990,16.61,1903.5,3.0,66.3,73,21.3,12.7,8,2181,4
1991,16.05,1990.0,3.0,68.8,67,20.6,12.4,6,1948,18
1992,15.87,1413.5,3.0,66.6,59,20.7,11.9,1,2138,1
1993,15.03,1726.5,3.0,67.9,29,19.6,11.2,7,1935,11
1994,16.56,1061.0,3.0,62.9,80,21.7,12.5,2,2423,24
1995,15.43,1393.0,3.0,64.3,52,20.3,11.3,3,2289,5
1996,15.15,1157.0,3.0,68.1,66,20.2,11.1,2,2129,22
1997,15.77,1610.0,3.0,68.8,59,20.8,11.5,8,2193,5
1998,16.77,1979.5,2.9,72.3,71,21.4,12.9,7,1904,4
1999,16.22,1628.5,3.0,70.9,70,21.1,12.3,4,2087,18
2000,16.23,1735.5,3.0,66.4,79,21.3,12.2,5,2162,21
2001,15.99,1415.0,3.0,64.0,70,20.9,12.0,5,2147,11
2002,16.12,1082.5,3.0,63.5,76,21.1,12.2,1,2070,21
2003,15.68,1905.0,3.0,68.1,51,20.3,11.9,9,1890,10
2004,16.78,1947.5,3.1,66.6,85,21.7,12.7,8,2210,0
2005,15.73,900.5,2.9,65.8,77,20.7,11.8,2,2102,45
2006,15.92,1611.5,2.9,64.9,65,20.6,12.2,6,1944,0
2007,16.58,1269.5,2.9,61.4,73,21.5,12.6,2,2125,1
2008,16.38,1579.5,2.8,61.7,69,21.3,12.4,7,2133,13
2009,16.46,1755.5,2.9,60.8,72,21.4,12.5,6,2150,1
2010,16.61,1730.0,2.9,64.1,83,21.3,12.8,4,2095,2
2011,16.11,1785.5,3.1,67.3,78,20.9,12.2,9,2152,26
2012,15.75,1567.5,3.1,67.3,76,20.5,11.9,4,2160,20
2013,16.36,1463.5,3.1,64.3,88,21.4,12.2,6,2355,2
2014,16.06,1505.5,3.1,63.8,68,21.0,12.1,5,2255,35
2015,16.57,1803.0,3.0,66.6,54,21.3,12.8,3,2100,6
2016,16.95,1686.0,3.0,64.8,74,21.8,13.0,6,2168,10
2017,15.91,1701.5,3.0,64.1,73,20.8,12.0,7,2221,9
2018,16.90,1695.5,3.1,62.3,80,22.0,12.9,6,2331,10
2019,17.00,1555.5,3.1,63.5,72,21.8,13.2,5,2209,0
2020,17.04,1711.0,3.0,68.4,74,21.8,13.2,5,2216,0
