Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.86,1169,1.4,73.3,62,19.5,9.1,1,2088,12
1982,14.33,1610,1.4,75.2,46,19.9,9.6,4,2131,3
1983,14.57,1438,1.5,74.4,55,20,9.9,4,2177,10
1984,13.99,1020,1.7,71,59,19.4,9.5,4,2151,53
1985,14.79,1481.5,1.7,71.5,68,20.1,10.3,6,2092,3
1986,14.16,1231.5,1.7,71,57,19.7,9.4,4,1897,5
1987,15.01,1116.5,1.7,73.1,74,20.6,10.2,1,1899,31
1988,14.1,1246.5,1.6,71.8,41,19.5,9.6,2,1716,3
1989,14.78,1553,1.5,74.4,56,20.3,10.2,4,1789,0
1990,15.54,1611.5,1.5,74.1,82,21,11,8,1830,26
1991,15.16,1434,1.5,74,66,20.3,10.9,3,1590,6
1992,14.79,1293,1.5,72.7,55,20.2,10.1,2,1733,0
1993,14.27,1576.5,1.5,73.8,31,19.4,9.9,5,1509,4
1994,15.65,715.5,1.5,68.7,85,21.4,10.8,1,2025,9
1995,14.52,1287,1.4,70,55,20,9.8,4,1764,4
1996,14.38,1221.5,1.4,71,57,19.9,9.7,3,1839,20
1997,14.88,1275.5,1.4,71.7,62,20.4,10,3,1919,5
1998,15.98,1693,1.4,73.9,73,21.1,11.6,4,1677,0
1999,15.32,1390.5,1.4,71.4,68,20.8,10.6,4,1844,4
2000,15.13,1320,1.4,72.8,78,20.7,10.4,5,1815,4
2001,15.14,1189,1.4,71,71,20.7,10.4,2,1913,5
2002,15.43,990,1.4,70.8,74,21.1,10.7,0,1865,1
2003,14.75,1546,1.4,74.8,50,20,10.3,5,1609,5
2004,15.72,1510.5,1.5,71.4,76,21.4,10.9,5,1994,4
2005,14.89,911,1.4,70.2,69,20.4,10.3,0,1800,1
2006,14.89,1364,1.4,72.8,61,20.3,10.4,4,1661,3
2007,15.31,1109.5,1.4,70.4,65,21,10.5,2,1900,0
2008,14.94,1300.5,1.4,73.6,65,20.6,10.3,2,1778,15
2009,15.07,1287,1.4,74.5,73,20.8,10.3,2,1803,0
2010,15.38,1587.5,1.4,73.1,83,20.9,10.8,4,1782,2
2011,14.98,1473,1.4,70.9,72,20.6,10.4,5,1848,19
2012,14.7,1597.5,1.4,72.6,70,20.2,10.3,4,1756,0
2013,15.31,1505.5,1.4,71.8,81,21,10.5,7,2004,3
2014,14.93,1320.5,1.4,73.5,60,20.6,10.3,3,1854,23
2015,15.52,1512,1.4,76.2,52,21,11,1,1739,3
2016,15.96,1493.5,1.3,75.8,76,21.6,11.2,4,1887,0
2017,15.42,1291,2,70.3,76,20.6,11.1,2,1891,3
2018,16.23,1646.5,2.1,70.3,72,21.5,11.9,10,2065,3
2019,16.26,1482.5,2.1,71.3,76,21.5,11.9,5,1887,0
2020,16.33,1628.5,2.1,71.2,70,21.6,12.1,7,1882,0
2021,16.33,1642.0,2.2,71.1,76,21.7,12.0,5,1936,4
