Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,21.1,2066,2.5,74.4,83,24.3,18.1,9,1640,0
1982,21.14,3238,2.4,77.6,61,24.3,18.3,14,1637,0
1983,21.71,3363.5,2.4,74.6,88,24.8,18.9,17,1553,0
1984,21.14,3159.5,2.3,76.6,91,24.2,18.5,14,1615,0
1985,21.53,2269,2.4,74.9,91,24.6,18.8,12,1600,0
1986,21.09,1839,2.4,72.8,90,24.2,18.1,8,1503,0
1987,21.72,2778.5,2.4,76.8,81,24.9,18.9,11,1302,0
1988,21.66,2935,2.4,73.4,96,24.8,18.8,12,1313,0
1989,21.58,2597.5,2.3,74.2,83,24.7,18.8,10,1310,0
1990,21.63,3445,2.4,74.7,90,24.7,18.8,12,1407,0
1991,22.04,2838,2.5,73.9,108,25,19.4,12,1339,0
1992,21.33,3316.5,2.2,75,69,24.5,18.4,16,1324,0
1993,21.4,3002,2.4,73.6,87,24.6,18.5,16,1398,0
1994,21.73,2008,2.4,74.2,88,24.8,19,10,1440,0
1995,21.17,2536,2.5,72.7,87,24.3,18.3,8,1285,0
1996,21.16,2551.5,2.6,73.8,95,24.3,18.3,11,1376,0
1997,21.4,2521,2.6,74.5,74,24.6,18.5,9,1382,0
1998,22.64,4403.5,2.3,78,102,25.9,19.8,24,1304,0
1999,21.78,3513.5,2.5,73.9,96,25.1,18.9,17,1180,0
2000,21.66,2633,2.6,72.8,80,24.9,18.9,10,1221,0
2001,21.9,2916,2.4,71.8,95,25.2,19.1,15,1264,0
2002,21.74,2658.5,2.6,70.6,80,25,19,11,1343,0
2003,22.09,2497,2.7,69.7,96,25.4,19.3,14,1341,0
2004,21.95,2912,2.6,70.7,90,25.3,19.1,15,1401,0
2005,21.45,2898,2.6,70.7,104,24.8,18.7,12,1290,0
2006,22.17,2490.5,2.5,71.6,92,25.5,19.3,12,1383,0
2007,22.03,2623,2.5,71.5,105,25.4,19.2,10,1417,0
2008,21.75,2906,2.4,72.9,106,25.1,18.9,17,1363,0
2009,21.76,2652,2.5,73.2,94,25.1,18.8,9,1423,0
2010,21.74,3567.5,2.7,74.4,98,25,19,14,1317,0
2011,21.41,2943.5,2.6,75.3,95,24.4,18.8,10,1145,0
2012,21.4,4167.5,2.6,74.6,78,24.6,18.7,21,1245,0
2013,21.83,2302.5,2.8,73,110,25.1,18.9,13,1598,0
2014,21.51,3182.5,2.8,74.3,82,24.7,18.8,18,1293,0
2015,22.06,2642,2.7,74.9,93,25.3,19.3,14,1279,0
2016,22.55,2689.5,2.8,76.9,114,25.7,19.8,9,1387,0
2017,21.83,2911,2.9,75.7,107,25.2,19,13,1353,0
2018,21.78,3196,3,77.4,95,25.1,19,17,1373,0
2019,22.19,3552.5,2.9,77.6,83,25.4,19.4,20,1229,0
2020,22.01,3039,2.8,77.2,85,25.2,19.2,12,1276,0
2021,21.83,2975.0,2.8,77.6,105,25.2,19.0,13,1332,0
