Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.23,1250.0,2.4,71.3,51,19.7,11.0,4,2137,5
1982,15.58,2190.5,2.4,73.3,33,20.0,11.5,10,2132,1
1983,15.95,1306.0,2.6,71.1,50,20.4,11.8,4,2235,0
1984,15.44,1179.0,2.7,70.2,58,19.7,11.5,2,2205,29
1985,16.03,1571.5,2.7,71.4,63,20.2,12.1,6,2170,0
1986,15.39,1348.5,2.6,71.3,49,19.7,11.2,2,2026,1
1987,16.11,2037.5,2.6,72.8,49,20.6,11.9,11,2010,0
1988,15.61,1530.0,2.6,70.7,32,19.9,11.6,7,2052,0
1989,16.27,1724.0,2.6,72.4,46,20.6,12.2,6,1990,0
1990,16.96,1795.0,2.6,70.9,75,21.5,12.9,8,2120,0
1991,16.23,2008.5,2.6,72.5,51,20.3,12.5,8,1741,0
1992,16.18,1523.5,2.6,72.0,48,20.5,12.2,4,1853,0
1993,15.58,2859.0,2.6,71.0,14,19.8,11.7,19,1757,0
1994,16.79,1072.5,2.6,69.0,74,21.3,12.5,3,2272,0
1995,15.92,1308.5,2.6,68.3,56,20.4,11.7,5,2136,0
1996,15.85,1212.5,2.6,70.3,48,20.3,11.8,3,2015,1
1997,16.45,1748.5,2.6,70.8,53,20.8,12.4,6,2081,8
1998,17.36,1981.0,2.3,73.8,62,21.5,13.6,7,1857,0
1999,16.64,1841.0,2.6,69.2,52,21.1,12.7,11,1851,1
2000,16.82,1458.0,2.5,68.0,70,21.3,12.9,8,2052,1
2001,16.78,1679.5,2.5,67.3,58,21.2,12.8,8,2040,2
2002,16.98,1474.5,2.7,65.4,70,21.5,12.9,5,2056,0
2003,16.64,1963.0,2.6,70.1,47,20.9,12.9,11,1885,0
2004,17.37,2146.0,2.7,66.1,67,22.0,13.2,7,2201,0
2005,16.76,1419.0,2.7,63.3,72,21.3,12.7,7,2074,0
2006,16.85,1989.5,2.6,69.1,51,21.1,13.1,7,1927,0
2007,17.43,1474.0,2.6,66.2,74,21.9,13.4,8,2088,0
2008,16.77,1655.5,2.5,66.9,66,21.1,12.9,5,2042,0
2009,16.99,1294.5,2.5,65.4,58,21.4,13.1,4,1999,0
2010,17.02,1298.0,2.6,66.0,75,21.4,13.2,5,1953,0
2011,16.57,1959.5,2.7,65.8,70,20.9,12.8,10,1913,1
2012,16.26,2263.5,2.6,67.3,62,20.5,12.6,10,1861,0
2013,16.87,1505.5,2.7,68.8,66,21.4,12.9,8,2186,0
2014,16.33,1613.0,2.6,70.8,38,20.5,12.5,7,1841,0
2015,16.80,1677.5,2.6,71.4,40,20.9,13.2,4,1822,0
2016,17.62,2199.0,2.5,72.3,69,21.8,13.9,12,1913,2
2017,16.82,1910.0,2.7,69.6,60,21.1,13.0,8,2070,0
2018,17.06,1663.0,2.7,71.8,71,21.4,13.2,7,2143,0
2019,17.42,1753.0,2.7,72.7,55,21.7,13.6,7,1980,0
2020,17.35,1860.0,2.7,71.4,55,21.7,13.5,9,2166,0
