Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.16,1093.0,1.4,71.2,56,19.5,9.3,2,2156,8
1982,15.00,1057.5,1.7,71.2,43,19.9,10.4,2,2160,0
1983,15.95,1103.5,2.4,67.3,63,20.5,11.8,4,2400,0
1984,15.28,818.5,2.2,67.3,62,19.7,11.2,1,2330,35
1985,15.84,1218.0,2.2,68.2,72,20.2,11.8,3,2264,0
1986,15.20,1071.5,2.1,67.7,62,19.7,11.0,2,2298,10
1987,16.05,1101.0,2.0,68.4,67,20.6,11.8,3,2092,7
1988,15.32,1157.5,2.1,67.7,55,19.7,11.2,2,1980,1
1989,16.02,1330.5,2.1,69.6,63,20.4,11.9,2,1974,0
1990,16.80,1477.0,2.2,69.8,83,21.2,12.7,3,2043,1
1991,16.13,1250.5,2.2,66.9,63,20.3,12.3,4,1760,1
1992,15.83,1157.5,2.2,67.0,54,20.3,11.8,4,1899,0
1993,15.30,1646.5,2.2,69.7,29,19.6,11.4,6,1675,1
1994,16.79,800.5,2.1,64.7,79,21.4,12.6,2,2288,9
1995,15.60,1028.0,2.0,66.6,57,20.0,11.5,4,2062,0
1996,15.55,1007.0,2.7,66.7,60,20.1,11.5,1,2064,7
1997,16.14,1047.5,3.0,65.4,67,20.6,12.0,2,2156,3
1998,17.27,1261.0,3.0,67.3,71,21.4,13.5,4,1894,0
1999,16.47,957.5,3.3,65.6,70,21.0,12.5,4,1981,0
2000,16.49,813.0,3.1,63.4,82,21.0,12.5,0,2021,2
2001,16.31,1282.5,3.1,64.0,69,20.9,12.2,1,2133,0
2002,16.64,827.5,3.2,66.2,80,21.2,12.6,0,2046,0
2003,16.15,1190.0,3.1,69.3,55,20.5,12.3,2,1834,0
2004,17.13,1480.0,3.1,66.5,81,21.8,12.9,7,2190,1
2005,16.40,732.5,3.2,64.9,78,21.0,12.3,1,2116,0
2006,16.40,1254.0,2.9,66.9,67,20.7,12.5,4,1866,0
2007,16.98,773.0,3.0,64.0,76,21.5,12.9,1,2052,0
2008,16.55,951.5,2.9,65.3,71,21.1,12.6,0,2022,6
2009,16.58,1074.0,2.9,65.7,69,21.1,12.5,4,1996,0
2010,16.73,1216.0,3.1,64.9,88,21.1,12.7,3,2097,0
2011,16.28,1416.5,3.0,64.0,69,20.7,12.5,8,2028,0
2012,16.05,1106.0,3.2,66.2,70,20.4,12.2,1,2052,0
2013,16.38,1341.0,3.0,64.7,75,21.0,12.2,6,2214,0
2014,16.13,1142.5,2.9,65.0,58,20.5,12.2,3,1973,9
2015,16.17,1333.5,2.9,69.7,52,21.1,11.9,3,2012,0
2016,16.63,1513.0,2.8,72.0,77,21.7,12.3,4,1996,0
2017,15.68,1205.5,3.0,69.9,74,21.0,11.2,4,2130,0
2018,16.26,1410.0,3.0,71.0,72,21.5,11.7,4,2229,0
2019,16.50,921.5,2.9,70.7,75,21.8,12.0,1,2066,3
2020,16.53,1154.0,2.9,70.8,70,21.9,12.0,4,2162,0
