Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.78,1094.0,3.0,62.6,63,20.0,12.1,0,2098,2
1982,16.13,1241.5,3.3,65.3,50,20.4,12.4,3,2112,3
1983,16.49,1242.0,3.7,63.7,69,20.8,12.8,4,2263,1
1984,15.82,1059.5,3.5,64.8,75,20.2,12.2,2,2271,32
1985,16.57,1276.5,3.5,65.8,70,20.9,12.9,3,2169,1
1986,15.84,1203.5,3.4,64.8,66,20.3,12.0,3,2056,0
1987,16.78,949.5,3.4,65.2,81,21.2,13.0,2,2062,7
1988,16.07,1300.0,3.4,63.9,66,20.2,12.5,3,1882,0
1989,16.85,1712.5,3.3,65.3,64,21.1,13.2,4,1943,0
1990,17.44,1740.0,3.3,64.9,85,21.7,13.9,7,1995,12
1991,17.13,1433.0,3.2,65.1,78,21.2,13.7,6,1732,0
1992,16.86,1220.5,2.9,63.4,58,20.9,13.3,3,1846,0
1993,16.28,1635.0,3.6,64.4,44,20.2,12.8,4,1642,0
1994,17.73,744.0,3.7,60.7,87,21.9,14.1,1,2225,9
1995,16.58,1379.0,3.7,61.0,60,20.5,13.1,5,2012,0
1996,16.34,1281.5,3.6,63.8,64,20.5,12.8,6,2028,9
1997,16.78,1337.5,3.7,64.1,69,20.9,13.1,6,2089,5
1998,17.83,1605.0,3.6,66.7,86,21.9,14.4,6,1858,0
1999,17.30,1365.5,2.8,62.8,88,21.6,13.7,5,2052,0
2000,17.22,1163.5,2.5,62.3,85,21.6,13.9,4,2017,2
2001,17.08,1041.5,2.6,61.4,77,21.4,13.6,3,2154,0
2002,17.30,954.0,2.7,62.9,86,21.6,13.8,0,2075,0
2003,16.86,1528.5,2.5,65.6,66,21.0,13.5,4,1823,0
2004,17.89,1594.5,2.6,62.7,94,22.4,14.2,5,2244,1
2005,16.98,909.0,2.6,61.9,88,21.3,13.5,0,2098,0
2006,17.03,1399.5,2.4,63.8,71,21.2,13.6,3,1860,0
2007,17.55,962.5,2.4,61.3,79,21.9,14.0,1,2125,0
2008,16.99,1262.5,2.3,63.0,71,21.3,13.5,2,2030,5
2009,17.05,1165.0,2.3,62.7,73,21.4,13.5,0,2001,0
2010,17.25,1568.0,2.5,61.8,82,21.4,13.8,5,2032,0
2011,16.85,1614.0,2.5,63.3,76,21.1,13.3,6,2163,6
2012,16.59,1519.5,2.5,63.3,75,20.8,13.2,5,2058,0
2013,17.08,1418.0,2.5,61.1,88,21.5,13.4,7,2300,0
2014,16.68,1278.5,2.5,64.3,65,21.0,13.1,3,2161,6
2015,17.22,1648.5,2.4,66.2,58,21.4,13.7,2,2006,0
2016,17.71,1453.5,2.4,65.4,81,22.1,14.1,4,2127,0
2017,16.80,1275.5,2.4,64.0,74,21.0,13.3,4,2185,0
2018,17.43,1651.5,2.4,65.4,74,21.7,13.8,5,2266,0
2019,17.57,1219.0,2.4,65.5,80,21.9,14.0,2,2101,0
2020,17.67,1521.5,2.4,65.2,70,21.8,14.2,3,2150,0
