Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.62,1876,2.4,73.3,63,20.5,11.5,10,2091,3
1982,16.11,1629,2.3,73.1,58,21,12.1,7,2110,4
1983,16.27,2109,2.6,71.3,67,21.1,12.2,11,2144,9
1984,15.85,1331,2.6,69.9,69,20.7,11.8,6,2190,28
1985,16.28,2134,2.6,72.6,74,20.9,12.4,10,2070,20
1986,15.68,2231.5,2.5,73,63,20.6,11.6,15,1998,21
1987,16.3,2307.5,2.6,73.8,60,21.2,12.2,13,1934,21
1988,15.9,1644,2.5,72.5,67,20.9,11.8,8,2002,2
1989,16.68,1770.5,2.6,72.3,69,21.7,12.6,7,1986,0
1990,17.21,1936,2.6,72.9,89,22.1,13.1,6,2053,8
1991,16.48,2433,2.7,74.2,66,21.1,12.7,12,1761,2
1992,16.51,1665,2.6,72,54,21.4,12.4,5,1917,0
1993,16,2568,2.6,73.3,32,20.6,12,16,1666,1
1994,17.25,1013.5,2.6,70.1,84,22.4,12.9,3,2226,0
1995,15.99,1856.5,2.6,71.9,65,20.9,11.7,9,2090,2
1996,16.08,1597,3.2,69.8,68,20.9,11.7,7,1992,11
1997,16.63,2352,3.3,70.8,66,21.4,12.2,15,2020,3
1998,17.75,1721,3.3,72.5,91,22.4,13.6,9,1851,1
1999,16.59,2106.5,3.3,69.8,71,21.6,12.2,11,1844,8
2000,16.67,1710.5,3.2,67.9,78,21.8,12.2,10,2053,0
2001,16.72,1924.5,3.1,67.3,74,21.7,12.3,10,2061,7
2002,16.85,1623,3,66.8,73,21.8,12.5,5,2015,0
2003,16.76,1892.5,3,70.1,61,21.5,12.6,8,1858,7
2004,17.27,1987.5,2.9,65.8,89,22.4,12.7,13,2156,6
2005,16.56,1356.5,2.8,68.8,89,21.6,12.2,6,2042,5
2006,16.95,2231.5,2.8,69.8,68,21.7,12.9,14,1889,1
2007,17.43,1624.5,2.9,65.5,87,22.4,13,7,2096,0
2008,16.77,1825.5,3.1,66.4,76,21.6,12.6,7,1993,0
2009,16.89,1704.5,3.2,65.5,71,21.8,12.7,8,1947,4
2010,16.95,1941,3.2,66.6,77,21.7,12.9,6,1853,14
2011,16.58,2005.5,3.2,68.4,74,21.3,12.6,10,1869,5
2012,16.5,1999,3.3,69.7,70,21.1,12.6,9,1877,2
2013,17.13,2012,3.3,70.9,87,21.9,13,11,2113,0
2014,16.71,2252.5,3.3,71.7,54,21.4,12.7,10,1860,1
2015,17.13,2083,3,72.4,53,21.8,13.2,10,1889,1
2016,17.85,2586,3,73,89,22.5,13.9,11,1863,13
2017,17.01,1634.5,3.1,69.5,78,21.8,13,9,2035,6
2018,17.43,1877,3.2,70.7,82,22.2,13.3,8,2134,16
2019,17.66,2078.5,3.1,70.8,71,22.4,13.6,7,2042,0
2020,17.53,2876,3.2,71.1,68,22.3,13.4,17,2095,2
2021,17.85,2480.5,3.2,70.3,105,22.8,13.7,10,2111,24
