Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,7.83,1671.5,2.4,72.8,9,11.8,4.1,5,1976,631
1982,8.86,1044.5,2.4,70.3,5,12.9,4.9,3,2243,561
1983,8.28,885.0,2.5,69.4,5,12.3,4.6,0,2010,421
1984,8.12,725.0,2.4,69.0,19,12.3,4.3,0,2276,561
1985,8.32,1053.5,2.3,69.7,19,12.4,4.5,2,2184,648
1986,7.68,1128.0,2.3,69.2,11,11.8,3.9,2,1765,464
1987,8.23,997.5,2.4,68.6,2,12.3,4.4,2,1700,514
1988,8.18,1121.0,2.3,69.8,5,12.1,4.6,1,1814,528
1989,9.43,998.0,2.4,68.8,11,13.4,5.8,3,1814,245
1990,10.11,1067.0,2.2,69.7,8,14.2,6.3,1,1869,447
1991,9.46,972.5,2.1,69.3,3,13.3,5.8,1,1741,615
1992,8.80,1090.0,2.7,70.8,1,12.7,5.2,2,1601,376
1993,8.73,1065.5,2.8,69.3,1,12.3,5.3,2,1576,408
1994,9.51,1330.5,2.8,68.1,19,13.5,5.8,3,1868,645
1995,9.19,1240.5,2.7,70.5,3,13.0,5.7,0,1576,535
1996,8.32,1099.0,2.8,67.8,2,12.1,4.8,1,1569,528
1997,9.06,1015.0,2.7,68.8,13,13.0,5.5,2,1649,314
1998,8.78,1155.0,2.7,71.1,1,12.8,5.0,1,1694,561
1999,9.36,1094.5,2.6,72.3,15,13.3,5.6,1,1612,539
2000,8.98,1444.5,2.7,74.0,10,12.8,5.5,3,1584,708
2001,8.33,1125.0,2.9,68.0,0,12.5,4.7,2,1729,520
2002,9.05,1101.0,3.7,67.3,2,13.0,5.6,2,1675,318
2003,8.79,916.0,3.6,67.7,0,12.8,5.0,0,1787,397
2004,9.69,1130.5,3.6,66.2,14,13.7,5.9,2,1668,464
2005,8.87,1236.5,3.6,68.1,9,12.7,5.3,1,1701,632
2006,9.09,1145.5,3.8,67.8,14,12.9,5.7,1,1725,584
2007,9.37,1028.5,3.4,68.2,10,13.3,5.9,1,1730,455
2008,9.54,843.0,3.5,67.9,4,13.7,5.9,0,1845,498
2009,9.42,1147.0,3.6,68.0,4,13.2,6.0,1,1604,450
2010,9.77,1325.0,3.4,68.6,20,13.5,6.5,2,1527,471
2011,9.32,1253.5,3.3,69.1,11,13.2,5.8,1,1754,536
2012,9.34,1279.0,3.5,70.1,20,13.1,6.0,2,1820,486
2013,9.24,1347.0,3.6,70.8,9,13.0,5.8,1,1648,524
2014,9.33,1203.5,3.5,67.1,12,13.5,5.6,2,1913,519
2015,10.02,1274.5,3.6,67.2,6,13.9,6.6,3,1813,355
2016,9.25,1360.0,3.7,66.3,11,13.1,5.9,2,1819,519
2017,9.13,1158.0,3.3,66.6,7,13.1,5.5,1,1820,435
2018,9.48,1282.0,3.3,68.6,8,13.3,6.0,3,1742,425
2019,9.83,814.0,3.5,68.7,18,14.0,6.2,1,1988,309
2020,10.01,905.0,3.3,70.6,12,13.9,6.6,1,1764,398
