Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,11.15,1121.5,1.9,72.8,14,15.2,7.6,3,2110,80
1982,12.13,1208.5,3.2,70.8,5,16.1,8.5,4,2083,45
1983,11.68,1329.5,3.4,71.3,13,15.6,8.2,3,2031,59
1984,10.80,819.5,3.4,72.0,21,14.7,7.5,2,2148,171
1985,11.97,1181.0,3.3,71.3,31,15.9,8.5,4,2165,89
1986,11.30,1292.0,3.4,69.6,5,15.3,7.7,3,1809,65
1987,12.18,837.5,3.5,69.6,13,16.4,8.4,0,1931,80
1988,11.49,1414.5,3.4,70.4,5,15.3,8.2,6,1605,53
1989,12.69,1394.0,3.4,70.8,11,16.4,9.3,4,1682,37
1990,13.58,1337.0,3.4,70.1,28,17.5,10.0,7,1745,19
1991,12.54,1796.5,3.3,71.6,13,16.4,9.1,9,1644,75
1992,12.17,977.0,3.4,71.2,13,16.1,8.7,3,1744,101
1993,11.83,1465.5,3.5,70.8,1,15.6,8.4,6,1592,44
1994,13.11,1239.0,3.4,69.9,40,17.2,9.5,4,2009,36
1995,12.55,974.5,3.3,70.4,22,16.4,9.1,2,1764,44
1996,11.88,960.0,3.3,68.9,15,15.9,8.3,4,1818,42
1997,12.68,1161.0,3.4,71.4,17,16.9,9.0,4,1862,86
1998,12.69,1419.0,3.2,76.7,10,16.9,9.2,4,1509,97
1999,13.24,1596.0,3.4,71.0,28,17.4,9.5,10,1948,25
2000,12.94,1186.5,3.3,69.9,30,17.1,9.5,4,1845,47
2001,12.19,1092.5,3.1,70.3,15,16.3,8.6,1,1836,143
2002,12.73,1240.5,3.2,68.7,24,16.9,9.2,6,1863,18
2003,12.09,1279.0,3.1,71.8,9,16.1,8.7,3,1623,41
2004,13.05,1233.0,3.1,70.5,29,17.3,9.4,5,1935,57
2005,12.16,1028.5,3.2,72.0,20,16.1,8.8,3,1770,112
2006,12.32,1599.5,3.2,73.5,13,16.2,9.0,9,1636,40
2007,13.05,1343.5,3.0,71.6,22,17.1,9.5,4,1854,10
2008,12.67,1349.0,3.0,73.1,11,16.8,9.2,8,1713,23
2009,12.93,1303.5,3.1,70.9,10,17.1,9.4,6,1726,22
2010,13.23,1444.0,3.0,71.7,48,17.3,9.8,6,1787,57
2011,12.94,1214.0,3.2,70.3,36,17.2,9.3,3,1990,55
2012,12.63,1179.5,3.2,71.8,46,16.7,9.3,3,1909,110
2013,12.66,1111.5,3.2,70.8,21,16.8,9.2,3,1880,89
2014,12.81,1416.5,3.2,70.3,26,17.1,9.2,6,2093,96
2015,13.65,1444.5,3.2,68.9,28,17.9,10.0,5,2103,31
2016,13.53,1209.0,3.1,67.8,26,17.8,10.0,8,1896,53
2017,12.91,1320.5,3.0,69.6,19,17.0,9.4,3,1910,27
2018,13.57,1082.0,3.0,71.8,36,18.0,9.8,2,1998,75
2019,13.58,1389.5,3.1,70.4,29,17.9,9.9,4,2056,21
2020,13.73,1247.0,2.9,73.6,32,17.8,10.3,7,1797,33
