Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.68,862.0,2.1,69.0,53,19.2,10.3,1,2294,10
1982,15.45,1013.0,2.3,69.3,43,19.9,11.1,3,2294,0
1983,15.99,1019.5,2.6,67.8,66,20.5,11.7,3,2451,0
1984,15.09,768.0,2.5,68.6,59,19.6,10.8,1,2401,42
1985,15.73,1039.5,2.5,71.3,72,20.1,11.5,2,2296,6
1986,15.23,798.0,2.5,69.3,57,19.8,10.8,0,2060,5
1987,15.98,1235.5,2.4,71.0,59,20.5,11.5,6,2173,1
1988,15.31,1174.0,2.5,69.8,47,19.7,11.1,3,2014,2
1989,15.83,1370.0,2.4,72.0,51,20.2,11.6,3,2009,0
1990,16.78,1600.5,2.4,71.0,80,21.0,12.6,6,2137,2
1991,16.25,1189.5,2.4,71.8,62,20.4,12.4,1,1754,3
1992,16.13,1064.0,2.4,69.8,50,20.4,12.0,2,1858,0
1993,15.68,1618.5,2.4,70.3,34,20.0,11.7,4,1712,0
1994,17.05,794.0,2.5,65.9,80,21.7,12.6,1,2288,0
1995,15.99,998.5,2.5,66.0,58,20.4,11.7,4,2088,0
1996,15.83,920.0,2.4,67.5,61,20.4,11.6,2,2077,4
1997,16.47,1096.5,2.4,68.0,66,20.9,12.3,4,2178,0
1998,17.50,1442.5,2.4,70.8,73,21.6,13.7,4,1914,0
1999,16.63,1045.5,2.6,67.5,66,21.1,12.5,3,1986,1
2000,16.73,856.5,2.5,65.8,85,21.2,12.7,2,2077,0
2001,16.54,1102.5,2.5,64.8,68,20.9,12.5,2,2115,0
2002,16.91,765.5,2.6,64.1,82,21.4,12.9,0,2077,0
2003,16.46,1251.5,2.5,68.8,54,20.7,12.7,3,1860,0
2004,17.26,1604.5,2.6,65.5,77,21.9,13.2,3,2223,2
2005,16.62,772.0,2.6,63.4,78,21.0,12.7,2,2076,0
2006,16.53,1212.0,2.4,66.8,63,20.7,12.9,3,1863,2
2007,17.25,795.0,2.5,63.4,78,21.6,13.3,1,2173,0
2008,16.75,1086.5,2.4,65.4,70,21.0,12.9,2,2017,0
2009,16.89,986.5,2.4,64.8,71,21.2,13.1,3,2009,2
2010,17.02,988.0,2.4,65.2,86,21.2,13.2,1,2065,0
2011,16.58,1604.0,2.5,65.7,72,20.8,12.8,7,2041,10
2012,16.31,1020.5,2.6,66.9,73,20.7,12.5,2,1997,3
2013,16.84,1537.0,2.6,64.5,84,21.4,12.8,7,2288,0
2014,16.39,1228.5,2.4,66.6,58,20.8,12.5,7,1976,6
2015,16.87,1209.5,2.4,68.3,53,21.1,13.1,3,1968,0
2016,17.50,1286.0,2.4,68.5,78,21.8,13.7,3,2029,0
2017,16.63,1415.5,2.6,64.8,72,21.0,12.7,6,2179,0
2018,16.95,1575.0,2.4,68.8,68,21.3,13.1,7,2248,1
2019,17.32,927.5,2.4,69.3,69,21.6,13.4,3,2116,0
2020,17.37,1108.5,2.4,68.7,69,21.7,13.5,2,2174,0
