Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.86,2103.5,3,74.7,51,18.7,9.5,3,1868,242
1982,14.41,1741.5,2.9,73.8,34,19.2,10.1,3,2014,194
1983,14.51,2125,3.2,74.5,49,19.4,10.3,7,1999,348
1984,13.88,1633.5,3.1,74.1,62,18.7,9.7,2,2024,527
1985,14.68,2036.5,3.1,74.3,61,19.3,10.5,4,1903,192
1986,13.88,1635,3.1,74.2,40,18.6,9.7,2,1827,281
1987,14.88,1815.5,3.2,73.1,58,19.9,10.5,7,1723,228
1988,13.99,2262.5,3,74.7,31,18.7,10,5,1571,288
1989,14.99,2036.5,3.1,75.3,44,19.8,10.8,5,1589,49
1990,15.73,2295.5,3.1,74.6,72,20.5,11.4,7,1751,190
1991,15.02,1951.5,3.1,76.1,47,19.6,11.1,1,1411,136
1992,14.95,1826,3.1,73.8,49,19.8,10.7,5,1625,108
1993,14.33,2021,3.1,74.4,23,19.1,10.2,5,1324,88
1994,15.58,1509,3.1,71.8,76,20.6,11,3,1899,70
1995,14.38,2087,3.1,73.2,53,19.1,10.2,6,1512,254
1996,14.48,1837,3.1,74.1,51,19.5,10.1,5,1607,231
1997,15.06,2074.5,3.1,74,52,19.9,10.8,5,1667,44
1998,15.97,2016.5,2.9,75.2,59,20.5,12,7,1474,42
1999,15.21,2003.5,3.1,73.9,60,20.1,11.1,5,1575,312
2000,15.14,1925.5,3.1,71.9,76,20,11,3,1755,247
2001,14.88,2085.5,3,72.9,56,19.8,10.6,4,1724,184
2002,15.18,1776.5,3.1,73.3,66,20.1,11,2,1713,146
2003,14.91,1745,3,73.1,39,19.6,10.9,3,1463,37
2004,15.84,2071,3,70.4,71,21,11.5,5,1816,109
2005,14.88,2003,3.1,71,70,19.7,10.7,4,1696,331
2006,14.96,1625,2.9,74.3,56,19.7,10.9,4,1638,135
2007,15.45,1594.5,3,72.8,55,20.4,11.1,1,1762,37
2008,15.03,1900,2.9,74.8,61,20.1,10.9,4,1736,108
2009,15.02,1851.5,2.9,72.9,42,19.9,10.8,4,1589,136
2010,15.55,1830.5,3.1,71.6,70,20.3,11.4,3,1717,113
2011,14.95,2375.5,2.9,73.7,65,19.8,11,9,1604,267
2012,14.86,2281,3.1,74.4,73,19.7,10.8,2,1726,337
2013,15.48,2048,3.3,71.5,78,20.5,11.1,6,1842,87
2014,14.93,1890,3.1,72.8,49,20,10.7,3,1707,110
2015,15.43,1750,3,74.2,47,20.4,11.2,1,1696,99
2016,15.99,1795,2.9,74.6,65,20.9,11.9,4,1713,48
2017,15.15,2248,3.1,73.2,65,20.2,10.9,7,1829,231
2018,15.73,2183.5,3.1,73.6,74,20.7,11.5,7,1826,137
2019,15.95,1536.5,3,74.8,64,21,11.6,3,1723,0
2020,15.92,2096,3.1,75.7,62,20.9,11.7,9,1727,87
2021,15.91,2188.0,3.1,75.5,62,21.1,11.5,7,1786,157
