Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,12.71,2180.5,2.2,80,39,17.1,8.8,4,1745,630
1982,13.68,1643.5,2.2,77.3,18,18.1,9.7,2,1955,224
1983,13.43,2824,2.4,78.7,29,17.6,9.7,9,1814,433
1984,12.88,2186,2.4,79,44,17,9.2,4,1838,826
1985,13.46,3123,2.4,79.5,51,17.5,9.8,12,1788,636
1986,12.8,1936.5,2.9,77.9,22,16.9,9.1,2,1562,546
1987,14.08,1697,3.2,74.7,37,18.5,10,3,1691,279
1988,12.92,2509.5,3,77.3,24,16.8,9.6,6,1449,339
1989,14.08,2242,3,76.5,27,18.1,10.3,5,1577,54
1990,14.85,1982,3,76.3,43,19,11.1,2,1715,164
1991,13.93,2592.5,2.8,78.7,29,17.9,10.6,6,1360,379
1992,13.94,1995.5,3,74.9,35,18,10.3,2,1586,272
1993,13.27,2409.5,2.9,76.4,16,17.4,9.8,6,1389,150
1994,14.67,1562.5,2.9,72.7,64,19.1,10.8,1,1837,298
1995,13.59,2427.5,2.9,74.7,37,17.9,9.9,6,1504,303
1996,13.53,2037.5,2.9,77.3,38,18,9.7,2,1713,330
1997,14.19,2270.5,3,76.5,44,18.7,10.2,4,1672,150
1998,14.94,2925,2.8,78.6,34,19.2,11.4,11,1380,120
1999,14.57,2590.5,2.9,76.9,46,19,10.9,7,1638,316
2000,14.63,1954.5,2.9,75.4,63,19.1,10.8,5,1739,325
2001,14.29,2245,2.9,75.1,48,18.9,10.4,2,1724,305
2002,14.54,2707.5,3,74.3,50,19,10.8,6,1626,308
2003,14.14,2331.5,2.8,76.1,29,18.5,10.5,4,1436,237
2004,15.2,2427.5,3,76.1,57,19.9,11.2,5,1728,314
2005,14.17,2776.5,2.9,78.3,53,18.5,10.6,10,1516,602
2006,14.2,2583,2.9,79.6,43,18.6,10.5,6,1539,305
2007,14.85,1769.5,2.9,77.4,46,19.5,10.9,1,1635,90
2008,14.57,2060.5,2.8,78.9,44,19.1,10.7,6,1697,192
2009,14.57,2224,2.9,78.3,32,19,10.8,7,1560,207
2010,14.88,2786.5,2.9,79.9,66,19.3,11.2,3,1593,344
2011,14.26,2668.5,2.8,77.9,58,18.6,10.4,7,1611,341
2012,14.17,2322.5,2.9,76.7,61,18.5,10.5,2,1758,438
2013,14.53,2862.5,3,74.6,63,19.1,10.6,12,1786,251
2014,14.27,2535,2.8,72.3,39,18.7,10.4,7,1769,218
2015,14.83,2140.5,2.8,71.5,43,19.2,11,3,1716,206
2016,15.23,2335.5,2.9,71.6,56,19.7,11.4,7,1680,147
2017,14.33,2699.5,2.9,77.7,44,18.8,10.4,9,1737,234
2018,15.03,2751,2.9,78.4,68,19.7,11,8,1800,385
2019,15.17,2097.5,2.8,77.5,50,19.7,11.3,3,1738,51
2020,15.38,2136,2.8,78.4,56,20,11.5,5,1665,112
2021,15.05,2609.5,2.9,76.7,56,19.7,11.2,6,1760,410
