Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.29,1254,2.8,70.5,40,18.5,10.4,4,2236,7
1982,14.83,2089,2.7,70.5,16,18.9,11,12,2134,7
1983,15.19,1625,3,68.8,49,19.4,11.4,8,2341,0
1984,14.78,1182,3.1,68.6,50,18.9,11.2,4,2217,28
1985,15.53,1688,3,70.2,62,19.6,11.9,6,2210,4
1986,14.95,1451.5,3.1,68,46,19.1,11.1,6,2434,10
1987,15.99,1008,3.3,69.2,56,20.2,12.2,1,2099,12
1988,15.23,1894,4.4,68,36,19.1,11.8,9,1979,0
1989,15.92,2052.5,4.3,69.3,31,19.5,12.6,10,2054,1
1990,16.63,1838,4.3,68.8,59,20.4,13.3,6,2094,3
1991,16.07,2079.5,4.3,69.8,44,19.7,12.9,10,1877,1
1992,15.92,1487.5,4.2,68,43,19.8,12.5,4,2047,0
1993,15.24,1895.5,4.3,68.8,24,19,12,8,1837,13
1994,16.72,1047,4.3,66.2,75,20.7,13.2,3,2336,17
1995,15.63,1666,4.2,67,49,19.6,12.2,6,2173,19
1996,15.21,1266.5,4.2,70.4,45,19.2,11.8,4,2056,7
1997,16.02,1361.5,4.2,70.5,49,20.2,12.4,3,2125,12
1998,17.16,2193,4.1,70.7,58,21.1,13.8,10,1876,0
1999,16.45,1609.5,4.3,68.3,53,20.5,13,5,2045,4
2000,16.42,1600,4.1,67.2,63,20.4,13,5,2091,3
2001,16.13,1582.5,4.2,66.8,56,20.2,12.7,7,2143,9
2002,16.31,1251,4.1,65.2,60,20.4,13,6,2099,0
2003,15.88,1761,4,68.1,38,19.6,12.7,7,1847,11
2004,16.98,2084.5,4.1,64.8,59,21.1,13.5,10,2233,2
2005,16.12,928,4.1,64.4,58,20.1,12.8,3,2156,3
2006,16.03,1385.5,3.9,71.5,55,19.8,12.8,3,1837,9
2007,16.6,1310,3.9,69.3,52,20.6,13.2,4,2142,0
2008,16.31,1703,3.8,70.8,53,20.3,12.9,6,2099,17
2009,16.29,1524,3.9,69.2,42,20.3,12.9,5,2075,1
2010,16.59,1623.5,3.8,66.6,71,20.5,13.3,5,2159,0
2011,16.1,1751.5,3.8,66,61,20,12.8,7,2103,7
2012,15.93,1714,3.6,68.8,59,19.7,12.7,6,2148,0
2013,16.47,1393.5,3.5,65.7,65,20.4,13,9,2366,9
2014,16.07,1589,3.4,66.7,40,20,12.8,6,2142,18
2015,16.59,1979,3.3,68.8,41,20.3,13.4,7,2048,4
2016,16.91,1785.5,3.3,65.6,54,20.7,13.6,6,2144,1
2017,16.06,1679.5,3.3,62.6,56,19.9,12.7,4,2181,3
2018,16.85,1720,3.3,63.1,61,20.7,13.4,8,2326,0
2019,16.93,1630,3.4,63,55,20.7,13.6,4,2111,7
2020,17.05,1787,3.2,62.8,47,20.9,13.7,9,2175,3
2021,16.93,1839.5,3.4,63.4,49,20.9,13.6,6,2166,0
