Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,12.38,1459.0,1.6,69.6,35,17.8,7.4,5,2041,3
1982,13.35,1586.5,1.8,68.1,20,18.5,8.6,6,2018,5
1983,12.93,1307.5,1.7,68.8,30,18.2,8.1,1,2078,10
1984,12.26,864.0,1.9,69.9,43,17.6,7.5,0,2256,105
1985,13.16,1468.5,1.9,71.1,49,18.3,8.5,3,2101,31
1986,12.48,1350.5,1.9,70.3,29,17.7,7.7,3,1809,43
1987,13.63,1314.0,1.9,70.3,46,19.1,8.7,2,2027,59
1988,12.74,1667.5,2.0,69.1,19,17.9,8.1,5,1863,7
1989,13.85,1984.0,1.8,71.5,32,18.7,9.4,6,1794,4
1990,14.63,1634.0,2.9,71.2,51,19.6,10.3,5,1924,37
1991,14.14,1845.5,2.9,71.1,40,19.2,9.9,6,1770,8
1992,13.59,1373.0,2.9,70.3,40,18.8,9.1,4,1897,32
1993,13.04,1461.0,2.9,70.6,15,18.1,8.6,3,1703,0
1994,14.47,1154.0,2.9,68.7,64,19.8,9.9,3,2071,42
1995,13.68,1403.0,2.8,68.3,40,19.1,9.1,4,2016,8
1996,13.27,1082.0,2.8,70.1,42,18.9,8.5,3,2017,20
1997,14.12,1565.5,3.0,72.8,49,19.8,9.3,6,2062,20
1998,14.34,1939.5,2.9,74.8,46,19.5,10.1,5,1603,63
1999,14.52,1417.5,3.0,72.8,56,20.2,9.9,8,1979,2
2000,14.26,1633.5,2.9,70.0,63,19.8,9.7,3,1996,7
2001,13.98,1525.0,3.0,67.8,45,19.6,9.3,6,2058,43
2002,14.28,1571.5,3.0,66.8,55,19.7,9.8,5,1999,19
2003,13.74,1469.0,2.8,68.8,36,18.7,9.6,3,1766,5
2004,14.82,1658.5,3.0,65.7,62,20.3,10.2,4,2098,12
2005,13.82,1333.0,2.9,65.5,57,19.2,9.4,4,2009,18
2006,14.21,1695.5,2.9,72.2,36,19.1,10.1,7,1645,2
2007,14.64,1320.5,2.9,70.4,51,20.0,10.1,5,2038,0
2008,14.25,1596.5,2.9,70.6,48,19.4,10.0,5,1892,13
2009,14.55,1394.0,2.9,68.9,42,19.7,10.3,5,1826,2
2010,14.78,1718.0,2.8,70.8,67,20.0,10.4,2,1879,18
2011,14.20,1619.5,2.9,68.7,63,19.6,9.7,5,2049,19
2012,14.01,1668.0,3.0,68.1,69,19.4,9.6,4,2089,19
2013,14.43,1504.5,3.0,67.1,50,19.9,9.8,4,2128,10
2014,14.19,1763.5,3.0,65.8,42,19.6,9.6,7,2180,56
2015,14.93,1651.0,2.9,66.7,45,20.0,10.7,4,2022,8
2016,14.79,1591.5,2.9,68.2,54,20.1,10.4,6,1936,21
2017,14.14,1307.5,2.9,68.2,46,19.6,9.6,5,2035,3
2018,15.23,1257.0,3.0,71.4,65,20.7,10.7,2,2156,37
2019,14.93,1867.5,3.0,71.0,50,20.3,10.4,7,1948,5
2020,15.01,1353.5,3.0,73.3,50,20.3,10.6,4,1967,1
