Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.51,1156.5,2.8,68.3,58,19.8,11.7,3,2347,1
1982,15.91,1354.5,2.8,70.0,35,20.1,12.1,4,2314,3
1983,16.25,1197.5,3.0,68.4,61,20.5,12.5,5,2429,4
1984,15.62,1007.0,2.9,66.7,62,19.8,11.9,4,2416,19
1985,16.45,1340.5,3.0,67.3,70,20.6,12.7,3,2235,1
1986,15.83,1103.5,3.0,66.3,63,20.1,11.9,1,2257,4
1987,16.58,973.0,3.1,67.6,68,20.9,12.6,2,2190,1
1988,15.88,1250.5,2.8,65.9,57,20.1,12.2,4,1952,0
1989,16.56,1973.0,3.0,68.0,52,20.8,12.7,7,2051,0
1990,17.29,1505.5,3.0,68.1,82,21.4,13.6,4,2139,3
1991,16.79,1428.0,2.9,66.8,64,20.7,13.4,4,1807,0
1992,16.50,1303.0,2.9,66.1,49,20.5,12.8,3,1961,0
1993,16.09,1663.5,3.1,67.3,35,20.1,12.5,8,1795,0
1994,17.28,617.0,3.8,64.1,79,21.6,13.4,2,2331,1
1995,16.24,1410.5,3.9,64.6,56,20.3,12.5,7,2132,0
1996,16.19,1041.5,3.9,65.6,56,20.5,12.4,1,2145,8
1997,16.96,1290.0,4.0,65.3,59,21.3,13.0,5,2195,0
1998,18.04,1817.5,3.7,67.8,83,22.3,14.4,7,1936,0
1999,17.28,1358.0,3.9,65.7,76,21.5,13.5,6,2066,0
2000,16.79,1414.0,3.7,66.6,78,21.0,13.2,4,2085,1
2001,16.66,1408.0,3.8,65.3,69,20.8,13.0,4,2141,0
2002,17.02,945.5,4.0,64.0,67,21.1,13.4,0,2078,0
2003,16.64,1659.5,3.9,67.6,57,20.6,13.1,5,1895,0
2004,17.55,1630.5,4.0,62.8,77,21.8,13.8,8,2280,0
2005,16.63,986.0,3.9,61.4,71,20.6,13.1,1,2071,0
2006,16.77,1420.5,3.7,64.3,59,20.7,13.3,4,1886,0
2007,17.28,912.5,3.8,61.1,68,21.4,13.6,1,2185,0
2008,16.71,1247.0,3.6,64.7,64,20.8,13.1,1,2041,0
2009,16.89,1515.5,3.8,63.7,59,21.1,13.2,5,2052,0
2010,17.06,1578.0,3.9,64.1,75,21.0,13.5,5,2039,0
2011,16.61,1750.5,3.9,63.3,70,20.6,13.1,9,2140,5
2012,16.44,1637.0,3.8,64.6,66,20.4,12.9,8,2042,0
2013,16.99,1369.5,3.9,65.6,76,21.2,13.2,6,2282,0
2014,16.68,1409.5,3.9,66.0,57,20.7,13.1,3,2145,10
2015,17.22,1537.5,3.7,69.2,51,21.1,13.7,4,1965,0
2016,17.73,1508.0,3.7,68.2,74,21.8,14.0,5,2155,1
2017,16.79,1341.5,3.8,66.5,70,20.8,13.2,4,2205,3
2018,17.32,1950.5,3.9,68.3,73,21.4,13.8,10,2289,3
2019,17.44,1625.5,3.7,67.9,75,21.6,13.8,6,2178,0
2020,17.52,1657.5,3.7,68.3,61,21.6,13.9,6,2179,0
