Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,10.39,1371.0,1.4,77.8,31,15.1,6.3,5,1796,425
1982,11.23,1076.0,1.5,74.8,17,16.2,6.9,3,1910,225
1983,11.11,1093.5,1.7,74.8,30,15.9,6.9,0,1896,316
1984,10.37,837.5,1.6,73.8,43,15.2,6.2,1,2076,484
1985,11.28,951.5,1.6,74.2,51,16.2,7.1,1,1968,285
1986,10.67,986.0,1.7,73.5,26,15.7,6.4,1,1635,306
1987,11.67,978.0,1.7,73.4,30,16.9,7.0,0,1685,276
1988,10.78,1345.5,1.7,74.3,19,15.5,6.8,3,1476,366
1989,12.10,1160.5,1.6,72.5,33,17.0,8.0,2,1563,182
1990,12.91,991.5,1.7,72.7,49,17.9,8.6,2,1604,154
1991,11.97,1443.0,1.6,73.6,28,16.8,7.9,4,1500,291
1992,11.65,937.5,1.6,73.2,35,16.7,7.4,0,1573,280
1993,11.16,1197.5,1.7,73.9,3,16.0,7.2,2,1399,252
1994,12.43,901.0,1.7,71.6,59,17.7,8.1,1,1827,304
1995,11.61,1205.5,1.7,74.1,28,16.4,7.5,4,1510,329
1996,11.23,968.0,1.7,72.3,37,16.2,7.0,2,1704,325
1997,11.98,1103.5,1.7,74.4,40,17.1,7.7,1,1571,215
1998,12.51,1389.0,1.6,78.3,37,17.5,8.4,4,1468,298
1999,12.41,1414.5,1.7,77.0,49,17.5,8.1,5,1660,274
2000,12.18,1165.0,1.7,73.9,64,17.1,8.1,2,1538,294
2001,11.64,1141.0,1.7,74.7,37,16.6,7.5,1,1649,473
2002,12.03,1215.0,1.7,73.8,40,17.1,7.9,4,1625,206
2003,11.70,1134.5,1.6,74.4,23,16.7,7.5,0,1514,240
2004,12.62,1337.0,1.7,73.0,49,18.0,8.1,3,1744,296
2005,11.59,1196.0,1.7,75.6,46,16.6,7.5,1,1536,528
2006,11.66,1526.0,1.7,76.3,36,16.7,7.6,5,1524,215
2007,12.23,1247.5,1.6,74.7,42,17.5,8.1,2,1623,225
2008,11.95,1158.0,1.6,73.8,40,17.1,7.8,1,1623,373
2009,12.08,1002.0,1.6,73.4,25,17.2,7.8,0,1560,261
2010,12.49,1418.5,1.6,72.8,67,17.5,8.5,4,1539,289
2011,11.82,1144.5,1.7,72.4,53,16.9,7.6,3,1664,442
2012,11.78,991.5,1.8,73.9,62,16.7,7.8,0,1664,377
2013,11.91,1347.0,1.9,74.2,37,17.0,7.8,3,1696,347
2014,11.78,1336.5,1.8,73.3,40,16.9,7.6,4,1737,365
2015,12.70,1027.0,1.8,71.3,40,17.8,8.4,1,1744,211
2016,12.71,1243.5,1.9,70.6,42,17.8,8.6,4,1683,199
2017,11.93,1341.5,1.9,74.0,37,16.8,7.9,3,1556,333
2018,12.58,1124.0,1.9,74.8,53,17.8,8.2,2,1765,331
2019,12.75,1261.5,1.9,73.2,43,17.9,8.4,4,1790,138
2020,12.99,1284.5,1.8,75.3,46,18.0,8.9,3,1547,168
