Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.18,2017.0,1.5,77.9,51,19.4,9.6,7,2063,45
1982,14.72,1763.0,1.4,77.9,43,20.1,10.1,7,2094,35
1983,14.94,1883.0,1.5,77.6,52,20.2,10.5,7,2214,17
1984,14.50,1438.5,1.7,72.7,57,19.8,10.0,6,2156,54
1985,15.03,2496.5,1.8,74.8,61,19.9,10.7,12,2014,30
1986,14.31,2116.5,1.7,74.1,54,19.6,9.7,12,2048,37
1987,15.14,1912.5,1.7,75.4,54,20.4,10.5,6,1890,88
1988,14.63,1443.0,1.7,73.0,57,20.0,10.1,7,1956,9
1989,15.38,1844.0,1.7,74.7,55,20.7,10.8,9,1937,0
1990,15.97,1924.5,1.7,75.8,72,21.1,11.5,8,1938,23
1991,15.34,2236.5,1.7,76.2,51,20.2,11.2,10,1641,24
1992,15.44,1445.5,1.7,74.0,50,20.6,11.0,4,1749,1
1993,14.94,2700.5,1.8,75.1,28,19.9,10.6,16,1594,7
1994,16.13,1268.0,1.8,72.3,75,21.7,11.4,6,2244,24
1995,14.95,1911.0,1.7,73.1,55,20.2,10.4,9,2050,37
1996,15.04,1500.5,1.7,74.3,59,20.3,10.5,7,1906,60
1997,15.56,2295.0,1.7,74.0,60,20.9,11.0,11,1974,16
1998,16.67,2080.5,1.6,75.0,76,21.7,12.4,12,1731,11
1999,15.61,1946.5,1.8,73.1,56,21.0,11.2,10,1781,11
2000,15.73,1387.5,1.7,71.3,75,21.1,11.2,4,1981,21
2001,15.63,1954.5,1.6,70.4,69,21.0,11.1,6,1955,16
2002,15.88,1546.0,1.8,68.3,72,21.2,11.4,5,1956,5
2003,15.58,2299.5,1.7,71.3,40,20.6,11.4,10,1683,10
2004,16.26,2224.0,1.8,68.5,73,21.8,11.6,15,2060,20
2005,15.48,1613.0,1.7,68.7,73,20.7,11.1,7,1913,48
2006,15.80,2224.5,1.7,69.9,58,20.9,11.5,13,1805,22
2007,16.24,1332.0,1.7,67.5,70,21.6,11.8,5,1911,0
2008,15.75,1691.0,1.6,71.8,68,21.2,11.4,7,1958,10
2009,15.82,2016.5,1.7,70.8,68,21.2,11.3,12,1883,28
2010,15.96,2083.5,1.8,69.7,80,21.0,11.7,10,1844,23
2011,15.58,1891.0,1.7,70.3,68,20.7,11.5,8,1785,72
2012,15.38,1692.5,1.9,70.9,62,20.4,11.2,7,1770,25
2013,15.80,2267.0,1.9,73.7,84,21.3,11.2,12,2041,21
2014,15.30,1715.5,1.9,74.3,53,20.8,10.7,6,1771,19
2015,15.87,2061.0,1.9,74.8,46,21.3,11.3,11,1854,9
2016,16.48,2493.0,1.9,77.8,74,21.8,12.1,11,1781,46
2017,15.60,1764.0,1.8,75.8,75,21.2,11.0,8,1989,29
2018,15.95,1939.5,1.9,76.0,72,21.6,11.3,12,2025,50
2019,16.33,1974.5,1.9,75.3,71,22.0,11.7,10,1953,1
2020,16.14,2277.0,1.9,75.4,64,21.8,11.5,15,2007,3
