Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,14.94,1586.5,2.9,65.3,34,18.9,11.5,5,2121,5
1982,15.28,1798.5,3.3,68.8,20,19.1,12,6,2151,1
1983,14.88,1767.5,3.3,68.3,30,18.8,11.6,6,2165,6
1984,14.25,996,3.4,67.8,45,18.1,11,1,2266,109
1985,15.15,1798.5,3.4,68.8,50,19.1,11.9,9,2158,1
1986,14.63,1449,3.4,66.8,37,18.5,11.4,6,2066,55
1987,15.77,1258.5,3.7,68.3,42,19.7,12.4,2,1982,24
1988,14.99,1626.5,3.5,66.8,20,18.7,11.6,4,1842,6
1989,15.85,2252,3.6,68.4,36,19.6,12.7,8,1911,0
1990,16.59,1765,3.6,68.3,56,20.5,13.3,5,2000,21
1991,15.93,2317,3.4,69,40,19.6,12.8,10,1762,0
1992,15.63,1776.5,3.4,68.4,41,19.5,12.4,5,1874,14
1993,15.13,1870,3.4,68.4,18,18.9,11.9,5,1761,0
1994,16.39,1391.5,3.4,67.4,61,20.3,13.2,4,2105,31
1995,15.82,1440,3.4,65.7,49,19.9,12.5,11,2081,4
1996,15.37,1684,3.4,66.2,37,19.3,12.1,6,2051,25
1997,16.16,1186.5,3.7,67.8,48,20.2,12.8,3,2151,0
1998,16.28,1900.5,3.6,75.3,42,20,13.2,7,1594,36
1999,16.53,1503.5,3.6,68.6,58,20.5,13.3,7,2105,0
2000,16.15,1557.5,3.5,64.8,54,20.1,12.9,5,2024,0
2001,15.87,1630.5,3.5,64,47,19.9,12.6,7,2064,30
2002,16.14,1638,3.7,63.5,54,20.1,12.9,8,2074,3
2003,15.58,2132.5,3.6,65.2,35,19.4,12.5,9,1794,0
2004,16.87,1932,3.7,62.6,64,20.9,13.5,9,2248,1
2005,15.79,1411,3.4,63,54,19.8,12.5,5,2045,2
2006,15.96,1856,3.3,66,32,19.7,13,7,1667,11
2007,16.53,1464.5,3.4,63.9,46,20.5,13.3,5,2046,0
2008,16.1,1919,3.2,64.6,51,20,13,7,1957,7
2009,16.28,1894,3.4,65.4,30,20,13.3,8,1854,0
2010,16.54,1855.5,3.4,66.6,68,20.5,13.3,7,2094,1
2011,16.33,1557,3.6,66.2,64,20.3,13.1,9,2188,4
2012,15.84,1997.5,3.6,66.8,60,19.8,12.7,8,2125,5
2013,16.59,1516.5,3.7,65.3,56,20.6,13.3,8,2257,13
2014,16.19,1860,3.6,66.3,44,20.3,13,6,2221,44
2015,16.65,1836,3.4,69.7,40,20.5,13.6,6,2076,0
2016,16.85,1969.5,3.4,69.8,54,20.7,13.7,10,1935,5
2017,16.25,1628.5,3.5,66.7,48,20.3,13,5,2175,0
2018,17.12,1573.5,3.7,68.3,61,21.1,13.9,4,2195,20
2019,16.87,1937,3.5,67.7,57,20.9,13.7,7,2021,0
2020,16.99,1687.5,3.6,69.6,50,20.9,13.8,7,2005,1
2021,16.99,2056.5,3.5,67.5,47,21.1,13.7,12,2216,0
